Symbol	E2.5_wt_male_IB118	E2.5_wt_male_IB119	E2.5_wt_male_IB22	E2.5_wt_male_IB23	E2.5_wt_male_IB25	E2.5_wt_male_IB26	E2.5_wt_female_IB120	E2.5_wt_female_IB121	E2.5_wt_female_IB122	E2.5_wt_female_IB123	E2.5_wt_female_IB124	E2.5_wt_female_IB24	E2.5_KO_male_IB27	E2.5_KO_male_IB28	E2.5_KO_female_IB125	E2.5_KO_female_IB126	E2.5_KO_female_IB127	E2.5_KO_female_IB128	E2.5_KO_female_IB29	E2.5_KO_female_IB30
Actg1	523.0047888	411.6338748	755.7354532	509.281297	869.1911194	1094.610511	1013.99462	307.3799037	384.3990946	162.9133364	1169.759366	1064.903592	350.4517477	485.4239986	147.0474117	456.4634728	1602.981163	339.2398574	572.3041409	321.2863588
Actg2	0	0	0.462792914	0	0.541596195	0	0.712767541	0	0.244978595	0	0.34271955	0.694963796	0.541004414	0.704796588	0	0.320392909	0.454216107	0	0.744214561	0.48736186
Actl6a	110.4329253	95.64725502	77.88741285	69.26910948	79.57530686	93.37182789	117.5776847	99.01308799	81.15024811	64.60381478	64.77469114	75.65363883	139.8272479	66.83934328	84.41151166	86.65985446	72.80376001	80.40100245	129.0276798	75.34988111
Actl7a	0.553931355	0	0	0	0	0	0	0	0.214193386	0.190490391	0	0	0	0	0	0	0	0	0	0
Actn1	2.005352989	1.759613423	7.161593478	8.461369082	4.76196173	7.846383254	8.773770016	6.481668261	5.600306331	11.64686475	13.37926159	4.39951673	1.522162726	13.88104326	1.601876172	1.915587985	11.02254573	2.482480491	8.689735038	1.714043451
Actn2	34.61996718	28.93831401	61.38752591	43.11574171	49.04721641	43.2592355	65.64794478	20.39432687	16.40962516	8.833034321	71.43761608	45.32635857	37.90747582	35.09693332	45.16147375	31.20341327	34.62865058	34.56208876	39.55236026	48.96810756
Actn3	0	0	0	0	0	0.342529212	0	0	0	0.200698808	0	0.64019432	0.498368339	0	0	0	0	0	0	0
Actn4	92.68953283	125.377593	209.6709346	188.3520641	175.8539112	175.5176844	176.8331196	125.6297696	147.5907645	102.8414184	225.7520024	164.5027265	164.6479006	91.92685387	90.76061839	128.793998	145.7579607	123.402709	141.3908073	177.499274
Actr10	71.68789218	50.72246513	53.42605242	47.38259133	49.3721637	61.53046197	73.1929484	51.163358	50.71349347	57.07150856	27.79599592	84.54672712	60.33188117	120.3167177	61.81564855	51.65608576	51.84174812	67.07125305	70.58100544	58.25465041
Actr1a	33.72557119	47.3884366	35.73311518	41.02382235	49.60977692	35.66451129	49.90672512	29.46141214	28.78409143	29.46473688	22.02429317	43.99409763	45.92322477	26.02632332	31.12660972	48.40071213	32.67473638	37.61242628	65.52833638	59.83424385
Actr1b	19.25344844	6.335286076	39.26275369	27.75625997	40.80485343	38.60833595	32.94276367	20.48426312	11.78775192	23.3115482	47.30255818	47.95986312	44.18550011	5.800913662	23.06948486	42.80106811	37.38480671	32.52397386	38.73104697	38.72438431
Actr2	25.65869221	20.39747573	40.63785967	34.49120632	45.71350876	31.18472206	37.04195992	43.44839622	31.78445363	40.37046397	54.1695851	28.89337079	36.25938685	28.79696281	55.50289186	49.03303905	41.51267816	40.33694373	43.95754319	32.57679963
Actr3	45.50870859	67.98421212	33.46484887	59.141868	67.56294194	49.5014585	32.76757991	102.1802454	31.08846167	52.79233768	47.10272094	31.94910037	67.61865618	39.82639716	49.07568742	22.55409732	66.1243376	51.82953989	73.91492406	44.34353998
Actr3b	1.94766279	0	8.536378943	0	2.393421525	2.28619731	1.643406166	0.629520297	0	1.33955604	0.263399303	1.068237746	0	0	0	0	3.141816265	2.10968121	0	0
Actr5	20.67886107	10.72544343	12.03319986	8.281565483	12.58407987	10.28524295	13.80106272	16.31297106	18.56715133	16.39195058	10.04873329	18.06993581	12.57032973	6.238502405	17.63815947	15.42050936	10.30250796	21.47705934	4.03478883	12.80683222
Actr6	38.15783627	23.17978129	15.36619221	22.70552939	18.29636294	14.35585584	14.86013597	38.26489036	36.88704411	37.85199548	31.75639751	19.855234	25.06473766	10.34018952	20.22262847	25.48186585	35.42378878	33.30786851	16.66507474	14.30033597
Actr8	12.17656554	4.265154437	18.65027079	21.5454852	19.5594491	14.7541107	15.90872957	18.28191052	10.78379372	14.85843012	11.26159313	15.08048501	28.84591662	23.5962309	7.059659367	13.5075596	9.011510511	18.47743691	26.946111	31.72677457
Acvr1	0.505223019	0	0.184527799	2.344907007	0	0.59303875	0	2.449460039	0.781435663	0.608090611	0	0.554200965	0	0	0	0	0.362215998	1.563572966	0	0
Acvr1b	0.25423032	0	0.928551544	1.501776103	0.162999465	1.193678242	0.858061627	0.986062766	0.294916251	0.087426777	0	2.788762257	0	0.56564389	0	0	0	0	0	0
Acvr1c	0	0.090882896	0	0	0.01967618	0	0	0.119030747	0	0.063321372	0	0	0	0	0	0	0	0	0	0
Acvr2a	6.745852296	8.541024485	6.213204641	6.187693676	11.50224572	10.15619311	3.794693591	19.05465189	14.97038706	15.48226496	10.47161758	7.882413694	7.388457567	12.39876272	2.899294362	11.94014869	13.2475034	7.080087381	9.371260842	8.968496264
Acvr2b	1.959112895	0	3.219961281	0	1.36075646	1.724728218	0.551022526	2.532884722	0.189386744	3.705435659	0	2.149035607	0.418236804	14.71123037	0	0	3.511429636	1.212619316	1.035600156	1.507068422
Acy1	5.239702884	14.94226584	34.44751031	12.28242061	16.54829953	6.833828788	6.549890405	7.526968748	4.952642027	7.007277554	9.133200581	7.663542069	14.41733286	0.64766423	13.60279439	1.177684627	17.53064682	13.69344643	16.82361764	10.97245334
Acy3	4.988699153	2.188687488	5.26376904	2.806569882	9.003180926	11.06098156	8.730572479	4.658157007	6.64441278	1.334319917	11.99404412	9.120532852	12.78001444	14.79932157	6.973703435	6.166977281	9.935032952	6.861827867	8.073960501	11.29962903
Acyp1	14.14234621	22.84442566	7.513242989	8.679577228	13.73840657	16.6005091	13.01790718	14.95985039	27.34271119	22.10629228	6.954879753	18.33396002	6.587229667	1.430258509	13.86438659	16.90468141	4.608751397	17.50719138	3.624600548	17.80224573
Acyp2	17.38238244	14.7075885	12.69749262	2.09551641	16.98239038	4.372224588	5.587417686	8.828764163	23.04478225	10.67427526	8.731431749	8.171779956	2.120479297	16.57479905	15.62067997	11.30208667	11.57201841	16.13858964	2.041876314	17.66959114
Ada	3.074216821	0	0	0	2.956545649	0	0	0	0	0.176197754	0	0	0.43752817	1.709976962	0	0	1.469358379	0.317137985	0	0
Adad2	7.345911253	0	3.156497314	6.928355474	8.403800398	5.579424219	4.375313201	9.497332404	1.002531697	6.83552241	1.636272539	13.2720783	5.165918702	5.287802204	0	6.337232147	8.364596934	2.674618072	5.68505812	0
Adal	4.314783385	4.259297318	4.990453587	5.461727924	6.147595998	2.532380404	6.06790667	11.15693633	4.171085695	4.080457093	8.752882762	2.366536189	12.58880145	6.000048642	14.2174288	1.454697195	4.897966957	8.457195443	11.48859146	8.297982472
Adam10	7.261824001	22.75979824	10.74185819	14.09461964	9.583414257	7.245437042	5.106174095	45.06536756	24.21892872	41.32956565	19.93621055	17.12648849	9.146617442	6.462811164	35.23953044	16.61763308	11.19357149	22.81112921	11.43064265	13.19748093
Adam11	0	0	1.431374399	0	0.90734878	0.383348059	0	0.316672646	0.126282576	0.673847624	0	0	0	0.181655726	0	0.165157458	0.234141192	0	0	0
Adam12	0	0	0	0	0	0	0	0	0.083947062	0.074657341	0	0	0	0	0	0	0	0	0	0
Adam15	3.344714989	6.878549044	1.425228764	3.057743333	5.718560024	20.93908918	12.54318256	12.07198365	5.173318464	8.243154609	3.015565125	15.89883719	4.522246663	7.131673741	4.508592762	7.893520846	17.18544649	4.83059826	12.24530489	2.465750998
Adam17	29.84848432	39.72132788	28.70365485	34.11605253	24.58782249	38.58463413	40.80715393	44.69636932	49.892585	36.7704336	25.34414956	35.43606213	38.87809836	22.06684556	29.87916784	24.45738522	26.81728976	38.58727896	13.40362488	30.08216217
Adam19	0.130438822	0	0.952830252	0.55037244	0.250892084	0.306222295	0.880497245	0.758883909	0.554816873	0	2.257967536	0	0.445543012	0	0.937750901	0	0.654620208	0.484421197	0.061289629	0
Adam1a	0	0	0	0	0	0.948823641	0	0.870883916	1.041872095	0.833919124	0	0.295561899	0	3.297180675	2.421335304	0	2.124914616	0	0	0
Adam1b	0	0	0	0	0	0.339084917	0.649992591	1.120432623	0.22340281	0.496701713	0	0	0	0	0	0	1.242636993	0	0	0.111109717
Adam2	0.326582814	0	0	0	0.06979606	0.766696119	1.102261055	0.422230195	0.757695457	0	0	0.716485607	1.394395931	0	0	0	0	0	0	1.004909206
Adam21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410370444	0.177144062	0	0
Adam22	0.270023582	0.355401609	0	0.075955678	0.09618072	0.528263234	0.303788672	0.232737517	0.452453444	1.269057851	0.048690169	0.39493405	0.076860502	0.500652287	0.485313446	0.227591117	0.322652431	0.167134733	0.084584455	0.242338263
Adam23	0	0.119586931	0	0	0	0	0	0	0.093688193	0.583243518	0	0	0	0	0	0	0	0	0	0
Adam28	0.431329412	0.42578272	0.315077754	0.545984278	0.276546336	1.518903805	0.727897476	1.394135682	1.250893807	2.150771134	0	0.70971581	0.736651104	4.078624833	2.325685351	0.218129265	0.773096274	1.868840046	0.354672277	0.580658287
Adam3	0	0	0	0	0	0	0	0	0	0	0	0	0.262807833	0	0	0	0.441296033	0	0	0
Adam32	0	0	0	0	0	0	0	0	0.789898288	0	0	1.867342443	0	0	0	0	0	0	0	0
Adam33	0	0	0.384564096	0	0	0	0	0	0.203568311	0	0	0	0	0	0	0	0	0	0	0
Adam4	0.357559124	0	0	0	0	0	0	0.693417958	0	1.967365136	0	0	0.610661634	3.18217172	0	0	0	0.442632072	0	0
Adam8	0	0	0	0	0	0	0	0	0	0	0.742709637	0	0	0	0	0	0.196866902	0	0	0
Adam9	3.554056937	3.301979719	7.63579275	11.29107361	1.653159527	7.116613823	3.057656492	3.78407257	3.395274223	3.379017504	4.410632901	3.439939994	5.534264724	15.81503411	2.630232437	14.06151011	7.3443952	6.211288703	6.483350741	5.789638762
Adamts10	0	0	1.19621166	0	0.656203006	0.720826216	0.690876646	0.529292004	0	0.563140143	1.439506315	1.122699499	0.699185065	4.098903008	0	0	2.201329906	0.126699352	1.442715697	0.314929163
Adamts13	0.363804698	0	0	0	0	0.427039694	0	0	0	0.06255405	0.590405513	0.798146194	0	0.607079157	0	1.471848647	0	0	0	0
Adamts14	3.211691436	0.317039061	6.803626747	2.981304283	0.823668847	3.769934077	1.806648645	0.934269762	4.781285196	0.938793045	4.430317388	3.523043145	5.210869421	3.036956	4.329280316	0.081209845	7.022926956	1.987919677	4.564984576	2.717690559
