Symbol	E2.5_WT_male_XK122	E2.5_WT_male_XK126	E2.5_WT_male_XK129	E2.5_WT_male_XK134	E2.5_WT_male_XK26	E2.5_WT_male_XK28	E2.5_WT_male_XK35	E2.5_WT_male_XK36	E2.5_Xist_female_XK124	E2.5_Xist_female_XK125	E2.5_Xist_female_XK128	E2.5_Xist_female_XK130	E2.5_Xist_female_XK131	E2.5_Xist_female_XK29	E2.5_Xist_female_XK30	E2.5_Xist_female_XK31	E2.5_Xist_female_XK32	E2.5_Xist_female_XK33	E2.5_Xist_female_XK34
1110037F02Rik	3.774022656	3.507804615	2.701443153	5.814718226	8.654621808	4.988597462	3.968229963	6.025993347	2.953256638	4.643748756	4.481490357	4.420620114	5.600665988	4.185123015	3.932158402	5.72692255	4.543499742	4.85601582	0
1110038B12Rik	153.346247	155.6982159	141.7199486	136.9691924	46.00027	161.4485654	91.68598164	192.2921688	97.11456592	124.3198429	47.88908773	102.4233159	151.1439347	78.15332694	54.51304682	56.80380879	67.82481126	83.1200896	101.8490831
1110038F14Rik	46.98738398	77.14097	53.85942594	30.3367334	20.31892603	40.71016533	54.4279923	35.67736882	22.4697444	55.65780274	56.57896058	58.13111133	76.15844089	50.36761645	60.40905005	58.07840332	35.17129878	50.62101207	16.77521756
1110046J04Rik	6.283414343	0.747000384	4.240654833	0	0	1.954252731	0.288389984	2.07160809	6.009558409	2.298533681	1.578348871	2.65440531	1.09117825	0.555409141	0.724969735	1.443344336	2.367758051	0.515057208	0
1110054M08Rik	0	6.116831014	3.215250591	0	0	2.22256202	0	3.426952279	6.834641224	0	0	1.207536842	0	1.515993802	0	0	2.154271669	0	0
1110057K04Rik	34.05826681	51.03621995	40.98244783	53.69464007	59.93929347	46.7434648	53.07517283	43.58589605	56.05736363	45.19952378	28.25203509	48.6842652	56.11955938	52.32217211	52.69908971	32.50662461	31.89328608	66.35364023	73.73357643
1110058L19Rik	25.61880855	54.8222126	13.17336854	9.303985047	22.15686986	7.683333591	36.28265948	4.826505204	26.25240002	17.40441433	22.06375543	26.28338811	3.813398051	10.56776222	27.30646873	6.165049495	24.82418598	2.999995881	5.335346347
1110059E24Rik	58.12158267	57.71676497	44.61002585	20.28025499	137.9890962	43.33124345	115.6486245	50.92887856	85.83505301	55.65493685	44.65798864	48.38434384	43.34224195	69.70929232	30.37409962	39.39834772	55.76667123	34.84463002	151.6602623
1110059G10Rik	18.15759054	22.10463261	12.90806881	13.54028331	5.129942745	9.318096227	28.73491713	9.491260931	12.85099633	28.16302158	17.63608802	7.824019578	10.5949155	6.805207919	13.1844838	20.13166888	9.46187396	8.057174298	13.00829418
1190007I07Rik	16.31755663	24.83077213	10.27848558	11.06195727	0	3.552533624	11.68326427	4.890737377	15.60637328	17.90735966	9.837249246	11.71859617	2.266966578	7.500250974	17.32076755	0.999535249	8.784129132	0.356684002	2.038966394
1200014J11Rik	35.73866891	38.23895442	24.29468725	49.04826787	8.62322057	14.86074855	4.956553694	13.1567373	14.48978743	18.33139135	6.765500507	12.80019798	12.81752427	13.41449187	6.543763259	8.298655717	14.80564686	8.979650305	8.494611744
1300002E11Rik	3.699580408	0.879645312	0.416139026	0.522502149	0	0.815032973	1.131998067	0.184807858	0	0.451114087	0	0.651197564	1.92740831	1.27173121	0	1.038668354	0.863014617	0.471734639	0.128411793
