Symbol	E3_wt_male_IB130	E3_wt_male_IB131	E3_wt_male_IB132	E3_wt_male_IB133	E3_wt_male_IB134	E3_wt_male_IB32	E3_wt_male_IB34	E3_wt_male_IB35	E3_wt_male_IB36	E3_wt_female_IB129	E3_wt_female_IB135	E3_wt_female_IB31	E3_wt_female_IB33	E3_KO_male_IB136	E3_KO_male_IB138	E3_KO_male_IB139	E3_KO_male_IB38	E3_KO_female_IB137	E3_KO_female_IB37	E3_KO_female_IB39	E3_KO_female_IB40	E3_KO_female_IB41
Micall2	0	0.579331442	0.313057522	0.506709522	0.417515714	0	0.911686428	0.414018123	0	1.660026086	0.182559299	1.125621932	0	0	0	0.240777935	0	0.603644098	0	0	0	0
Micu1	39.48664588	5.540844125	21.41965995	12.67486853	7.372071649	13.77471351	18.78058005	17.05740102	24.31295265	12.48434355	13.43103376	13.74694247	10.44450559	11.57671474	14.69261359	13.10852679	6.561225219	14.21138542	7.311641755	9.512690195	28.09338001	31.64410003
Mid1	3.370151547	2.246305021	1.78883466	0.206812645	1.704083407	2.332757046	3.307584819	2.027769661	1.419798265	4.667476235	1.341202913	2.388987695	2.704003253	14.08786214	1.552573952	12.38241209	2.426644897	4.927526599	8.112551037	15.07814275	6.608188037	3.262467109
Mid1ip1	3.870694658	1.176810956	0.508737478	11.52807229	1.356976763	0	0.329232399	0.672804585	0	6.594238855	6.526738776	7.133895505	0	4.124371261	0	0	4.830897247	0.980958306	4.84507237	4.502572158	0	2.164942963
Midn	0.859736818	6.534664934	5.649894646	5.029652283	6.028080161	6.313469016	5.027497704	7.098378684	4.185367196	7.822696341	8.236831384	6.399106044	4.697210767	5.725512693	4.505259345	5.431789177	2.01189673	5.991835135	3.587200292	5.000429381	1.929624263	1.030424771
Mier1	2.069501787	4.271886494	3.113696551	3.823278119	3.15028359	1.487066243	2.154015454	2.55591262	1.590748418	3.036461546	1.127017372	0.926526688	1.622987954	6.093128637	3.913899526	2.477376909	5.097794912	1.242185211	2.726801698	0	2.252584571	1.436004017
Mier2	20.32361461	10.59258473	22.69153823	24.81630651	9.815041527	16.60198492	8.996191761	44.33839987	18.5511255	21.43923186	12.63649532	29.54849837	9.888443701	16.24168387	12.10948597	13.83617905	15.52976961	14.97895	15.57533803	20.50527365	11.96896415	16.15619167
Mier3	223.3204264	241.2492788	167.7334555	173.1755889	212.3176193	414.8250791	261.9965232	177.199286	180.8678238	65.84452067	178.7269724	139.3192739	261.0473245	330.8644562	122.7093166	364.2721486	105.5565238	296.6343933	128.5518804	350.1949372	372.9673936	423.9316302
Mif	724.087729	1215.900622	1165.664031	765.0947926	658.1569995	1087.967336	1494.048899	885.1946616	1145.041672	823.2524152	576.6626467	1285.583374	791.6935238	780.22905	887.3990046	810.0056584	1041.363558	601.5629426	798.3204172	741.8868097	750.9293539	370.1270898
Mif4gd	21.94571677	11.06176715	5.692882975	17.04664463	6.833189237	21.32448584	6.447318696	12.79901026	15.28739488	1.677067416	12.28326433	10.43928697	3.442145756	10.15357442	22.04918696	5.692042728	13.5146976	10.9771367	14.45797683	8.397460211	19.44306187	16.95832767
