Symbol	E4_WT_male_XK151	E4_WT_male_XK152	E4_WT_male_XK155	E4_WT_male_XK156	E4_WT_male_XK157	E4_WT_male_XK161	E4_WT_male_XK62	E4_WT_male_XK63	E4_WT_male_XK64	E4_WT_male_XK65	E4_WT_male_XK68	E4_WT_male_XK71	E4_Xist_female_XK150	E4_Xist_female_XK153	E4_Xist_female_XK154	E4_Xist_female_XK158	E4_Xist_female_XK159	E4_Xist_female_XK160
1700037H04Rik	9.592246126	4.849152586	5.437524629	0	9.945008495	4.273239844	7.330312399	7.289080634	7.675844313	1.618869912	0	7.839735593	12.0762687	10.95170929	20.79261632	14.34890969	13.66963011	9.596196046
1700042G15Rik	0.862357102	1.037551441	1.3687562	0	2.084462583	0.681485198	0	0.742672337	0.276027899	0	0	1.159515955	4.026865056	0.371950499	1.324078246	0.899684069	0	0.46931544
1700048O20Rik	3.41023036	0.814096098	0.85917597	4.247355522	2.194344291	2.121036631	1.118766933	1.359690516	0.909637394	4.07674018	1.695581876	0.679312378	0.245747236	0.163432795	2.036271848	1.482433977	0.731123332	3.608751301
1700049G17Rik	0.067878438	0.23333844	0	0	0.068364015	0	0	0	0	0.292121592	0.303745183	0.212960084	0.176091854	0	0.521108732	0	0	0.277058068
1700052K11Rik	3.19211506	1.246953659	0.329000661	0.464692026	0.730670507	0.286658713	0.68544759	0.833056966	1.625510337	0.416290419	0.324641039	0.65031562	0.376411846	0.125165274	1.113915806	0.378441496	1.306508001	0.789648026
1700052N19Rik	15.59473027	8.934722455	15.0802266	0	3.079664515	12.7870232	21.48736016	6.583514605	9.787539473	5.483126531	11.97273316	11.5806445	16.06349882	11.0126584	13.38070689	7.377212926	7.866759344	11.54485241
1700056E22Rik	2.172390798	1.244632546	0.410485313	0	0	2.384375993	1.282821898	0.519691432	0.579458774	0.519394406	0	0	0.469638979	1.249322876	1.111842333	0	2.018212906	0
1700061G19Rik	0	0.490248339	9.701164104	27.06196948	0.789987262	1.12701829	0.673720991	8.597453288	8.444992053	0.204584273	0.957261295	11.50542104	4.80963878	1.230239532	7.445041185	0.092991785	0	2.231398971
1700063D05Rik	7.901088487	0.848772688	1.119715932	1.581525893	0.746025924	5.853659878	1.16642104	1.417606812	2.370958963	3.541991468	0	1.327964676	3.202686125	1.703942484	2.27465064	1.931973194	1.058702333	5.374952572
1700066M21Rik	3.725887421	3.502210552	3.168122098	0	1.876270499	1.303517025	2.750224533	4.010973979	3.726881509	3.173539546	5.731258458	4.853231728	4.83289277	4.670471215	3.217946067	2.581318358	0	2.930685293
1700080O16Rik	0	2.483273051	0	0	6.305475419	9.197394219	0	0	2.697631667	0	0	3.453560588	1.874033944	0	4.066941848	0.157011577	0	0
1700086O06Rik	1.631824367	0.311641552	0.822246086	0	0.547832605	0.358212054	0.642407445	0.260249412	0.580359021	0	2.434051248	1.056434526	0.47036861	1.564079778	0.556784845	2.364524417	2.721045923	0.616720833
1700095A21Rik	1.310072904	1.970280099	6.31241166	0.262231492	6.432292745	8.196097309	0.773613206	2.350522053	2.096675902	1.409507176	2.198387727	1.027547348	2.12413888	4.237939269	3.520140669	2.989829424	4.774757425	2.673649233
1700096K18Rik	3.624399416	3.945416454	0.547880328	0	2.433551324	2.705090197	3.995132933	5.202294149	1.933528761	2.079728324	4.865582774	2.599108227	2.820750885	2.918104398	3.709977694	4.884154455	0	1.972485183
1700113A16Rik	18.16476721	5.815776645	5.653255515	0	6.277596919	2.345566211	4.20647262	3.578627979	9.690460623	10.72974791	6.37524986	1.596349534	6.467927258	3.686964051	6.015598623	6.735045922	2.596243992	4.603635942
1700120E14Rik	0	4.516463572	1.438185862	0	7.026879449	3.222239793	2.9963497	2.341032367	3.480351769	1.559796243	1.216395693	1.94933117	2.350625737	1.485106703	1.669489962	0.82715519	0	2.095765507
1700123I01Rik	0	0.186540557	0.738262798	0	1.202367469	0.142944302	0	0.934671323	0.34738787	2.179653274	0	0	1.970853222	1.872435246	1.999661877	1.273808737	4.002065471	0.590644974
1700123O20Rik	42.62938392	41.7327467	31.729928	62.17912632	37.42754271	51.14265612	49.90849494	31.1261879	30.84966121	30.57663043	33.1755988	26.16737171	32.45580756	23.6630615	25.04323323	31.90568331	36.7164022	17.14777749
1700128F08Rik	7.254676237	5.421439964	2.503220798	69.95509339	4.76515658	30.74255447	2.980153215	3.169181355	5.048077791	14.02692441	7.763015399	1.837815378	4.500495331	2.448841664	4.843024936	9.04952489	5.004133027	25.7489282
1810009A15Rik	243.0893528	107.6354178	96.16903315	655.004378	114.3870026	217.0724273	189.6031624	134.0110973	103.8672787	115.9676803	63.68770948	82.92581585	132.9192856	149.2930679	79.54373151	95.40125519	175.0226039	61.96490038
1810013L24Rik	11.60181463	21.19671244	4.969048648	0.068808411	23.97549818	9.281625429	14.51398257	6.661081787	8.664999508	9.122931977	11.92151381	9.167215487	8.58341893	27.6892222	8.840838598	8.349516454	6.559172892	9.880218952
1810014B01Rik	2.593459138	3.900424863	2.205218322	4.499050664	3.265014694	1.138613128	1.786712228	3.412319607	1.383547247	3.410369316	9.671096624	1.743568436	6.447679338	6.898074564	1.991021363	7.89167322	0.370676521	1.470232011
1810019D21Rik	14.25142035	11.69924347	9.646155478	0.170307087	15.96009005	13.30745447	17.83610836	5.800905639	12.25523624	26.24172391	6.186916613	8.48480144	12.96757105	12.29380009	8.491476285	4.576992388	7.478837938	9.550255569
1810022K09Rik	726.4272577	345.9108533	271.2253557	641.7425845	360.5357871	167.8957464	431.0260251	424.8419138	237.5491968	425.8516027	263.7242932	217.5764701	326.1660275	549.8188973	390.1110934	522.0607515	204.0338528	330.2412412
1810026B05Rik	5.446112908	3.861313355	2.161053926	2.398273466	4.25093105	3.093383616	4.019990847	3.029125036	3.159588258	2.441446579	4.264835144	2.501951207	2.384173458	1.644306153	5.539863056	4.216995738	0.817319024	2.176618031
1810026J23Rik	3.534303935	7.688354371	8.139133869	0.088430746	3.948916825	15.85617557	8.348189447	6.65828007	6.540206779	4.594756251	9.390421265	12.87050517	7.019843448	7.002760152	7.631201752	5.32928	14.96504135	9.241590871
1810030O07Rik	8.031454911	18.95185331	19.60003532	3.923684573	17.06896873	16.67413044	16.71991092	14.26342841	23.96463057	16.79388708	12.18287444	16.59508371	31.78279963	26.71478059	31.14260864	21.48030694	13.42477367	33.15224562
1810032O08Rik	4.207715376	2.109393516	5.565498418	0	3.090073997	0.692746595	5.176467934	5.032965597	6.172962427	5.533097939	14.51390916	4.400393048	4.320819708	3.780969019	3.7686834	7.202090358	0.375873788	5.963384723
1810037I17Rik	214.8771241	97.72756557	63.44521565	299.5691183	76.05209431	70.1629509	112.2710128	61.78790346	38.46573211	91.08506872	70.63071387	50.64566102	80.96364272	168.4958626	89.7795596	119.9951322	102.4411659	73.94242676
1810041L15Rik	0.118342736	0.101703538	0	50.21885961	0.148986643	0.15586896	0.139765509	0.42465913	0	0.424416419	1.191520946	0.185642744	0.230255649	0	0.363411031	0.038582868	0.025371639	0.483037186
