Symbol	E3.5_wt_male_IB140	E3.5_wt_male_IB141	E3.5_wt_male_IB142	E3.5_wt_male_IB144	E3.5_wt_male_IB145	E3.5_wt_male_IB44	E3.5_wt_male_IB45	E3.5_wt_male_IB46	E3.5_wt_male_IB47	E3.5_wt_male_IB48	E3.5_wt_male_IB49	E3.5_wt_male_IB50	E3.5_wt_female_IB146	E3.5_wt_female_IB147	E3.5_wt_female_IB148	E3.5_wt_female_IB42	E3.5_wt_female_IB43	E3.5_KO_male_IB152	E3.5_KO_male_IB153	E3.5_KO_male_IB154	E3.5_KO_male_IB51	E3.5_KO_male_IB52	E3.5_KO_female_IB151	E3.5_KO_female_IB53	E3.5_KO_female_IB54	E3.5_KO_female_IB55
Dcbld1	21.61771977	42.4118783	44.02502754	18.22960924	19.81941058	44.36509901	46.987355	36.90524188	25.3462386	30.6129282	18.87264197	15.70839363	30.27389286	29.09185768	28.4215496	24.35833665	23.54971933	57.79078267	47.51081873	36.35105604	44.81617529	43.94994852	31.56091481	15.84380456	53.94696513	45.97440206
Dcbld2	0	0.859886541	0.684320992	1.366196986	1.320304719	0	0.547775354	0.344191018	1.477423535	0	0.388263463	0.192765656	0.941149231	0.969002505	0.631117088	0	0	0.264204302	1.772409146	0	0	0.604561036	3.396322845	0	0.596931535	0.463538524
Dcc	0.436794538	0	0	0	0.4147611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082558661	0	0.075966827	0.071128156	0	0	0.072808097
Dcdc2a	1.542566532	0.693791542	0.828207141	0.489912651	0.532637855	0.362871578	0	0.55541471	0.59602279	0	0.417689069	0.31106239	2.278072784	0.781830752	0.509211014	0	0	0.639512429	0.715026003	0	0	0.195113803	0	1.371060575	0.928855379	0.841504031
Dcdc2b	6.524744802	3.228057867	0	0	4.956491154	3.376721631	0	1.29211061	0	2.55192096	0.971707209	1.447304176	0	0	0	0	0	0	0	2.959785329	7.592346004	1.815642334	1.699995856	0.554716537	2.56104158	0.870073613
Dcdc2c	29.87732515	1.944938631	9.287008947	50.81562599	2.986337766	4.069020208	14.86786076	13.23467269	20.05030642	12.30047258	2.927318789	8.720159054	17.02994438	8.766972452	11.41996248	2.569176024	3.548411087	3.585550857	4.008932403	8.916508103	15.24822628	7.384118613	7.681989643	13.70312316	2.89322689	8.911883697
Dck	152.3217361	121.34203	112.5408068	144.9545282	72.84436852	104.9799227	134.8369551	129.6421872	61.13474195	170.9361306	79.64375477	97.76333765	161.7677592	92.53070532	155.3518351	61.46356538	74.90316239	85.2181168	125.9961424	95.36376047	107.2912487	123.1572111	86.24434326	104.8855197	113.8218362	120.2494671
Dclk2	0	0	0.52860089	0	2.039727724	0	0.846253566	0	0	0	0.799766638	1.786812301	0	0	0	0	1.211817456	0.408167018	0	0	0	0.093398129	0	0	0.065871039	0
Dclre1a	2.213992934	3.422977414	4.358556973	0	7.35808996	2.148370758	2.616655907	3.562343243	5.881226356	5.412026779	5.770137654	5.524907842	8.991509662	3.08587101	3.014769182	2.712959071	1.248998895	4.206905522	5.64438789	19.45873595	6.977354796	4.813190281	2.523705189	1.764635817	2.647792621	4.613055973
Dclre1b	3.418187202	5.853866131	5.693924095	0.45929311	6.990871851	4.762689465	6.629512541	6.508766132	10.05788459	6.684509381	4.307418524	3.499451889	2.84759098	2.931865321	0.954770651	3.436752256	3.559996384	3.597257413	4.022021268	3.379456383	8.668872676	5.396116116	2.911560067	1.78833988	2.644657677	5.610026875
Dclre1c	28.10982222	58.76861856	54.62410426	42.60750701	59.23871943	38.4806135	40.58110491	31.24509259	57.03871954	42.91266284	20.79644112	21.72283212	50.08315717	78.86467772	38.85303787	38.51904411	31.92028928	44.93559747	94.31856599	38.25392806	49.2397283	17.09513265	43.23463806	34.45970151	15.12649941	54.17100424
Dcp1a	19.87537647	10.42911003	7.114086982	11.39727347	11.43805651	22.33831233	15.18555009	20.67376976	17.06560981	20.41536768	8.222137923	12.9144065	5.435572526	5.596438077	6.56098806	18.36851064	9.96663755	14.64866077	12.28378006	7.437409288	26.86522432	19.90223328	15.82303835	13.5692199	11.52468711	13.78732032
Dcp2	0.913147207	1.936162441	2.824892574	5.013059682	0.495477075	2.700439652	3.289060485	1.808326963	3.32663883	4.081656295	3.49693174	2.604243266	8.476549893	2.909137683	6.631585294	0.426263846	5.29859927	18.24345534	11.97252843	2.860132716	5.818778194	13.11346258	4.843306487	9.0941935	9.696578118	5.305606812
Dcps	6.609992724	2.335881069	16.73061662	0	10.75981999	9.773827434	8.928187743	21.50487608	12.04025938	9.233080861	26.71950678	12.56754581	20.45304878	0	3.428858082	12.34237326	21.30829773	21.53132298	14.44424388	13.56444332	18.31319639	23.32051159	49.82098409	22.87996651	47.02535646	18.25842918
Dcst1	0	0	1.920064999	0	0	0	1.536945814	0	0	0.953659044	0	0	0	0	0	0	2.200874351	0	0	0	4.728796819	0.508882453	2.223523992	0	0.957067442	0.650297233
Dctd	18.62927136	27.04889868	14.35083064	8.489003689	12.30577114	14.67127329	6.381858337	18.84699269	12.04890899	15.04753394	22.61732297	5.389960381	8.771889455	9.031493173	10.29396403	11.9101242	9.138688036	17.23743271	30.97418678	22.35148231	51.83739685	31.13200519	40.62403891	21.00271578	45.20459169	41.04347248
Dctn1	18.75791762	18.56061666	14.27867325	20.0964169	14.24936232	18.76822032	18.12968736	17.08750358	19.1340768	20.05307189	23.09335039	25.24242315	4.062933714	5.577568099	11.80628552	17.97967285	11.2875366	18.6292751	8.926722153	10.58904565	13.58133944	17.92121147	8.145499222	12.97062128	13.3142348	8.671399127
Dctn2	95.46938804	59.4029724	80.71255048	50.64297058	55.61569295	90.93467499	84.91286296	71.33256038	62.23406798	66.43213671	97.69367607	104.5848312	41.23015885	48.98118895	38.28208722	45.93286341	95.16009036	88.14308449	65.70067504	75.72130279	49.97932912	70.49030934	97.28391871	94.8591213	85.34853998	65.21619814
Dctn3	115.5487725	103.9394533	112.5881592	274.2141523	57.63075428	87.58502814	110.3546187	97.07683191	99.21373156	82.16868483	117.3291189	126.8593574	75.84142933	58.56446504	67.81046045	110.60223	147.4904782	81.61396712	83.31607342	186.1907193	122.2320549	84.44428445	101.8730436	92.77892489	122.2618981	111.2829555
Dctn4	13.05370592	13.51716638	16.1359905	13.25692552	11.53044792	14.13968088	6.697342771	18.03527572	14.19285288	22.55914619	14.24124039	11.78418909	4.931530744	10.1549584	12.12563868	18.84754172	10.96052019	14.76698597	15.47875354	30.52547583	8.242417633	22.59726743	22.54210984	15.48546326	19.06507206	15.38301392
Dctn5	49.30867194	49.15413441	46.36230054	53.34995269	55.90611432	70.46151247	51.02820619	65.58389101	75.07086007	73.39937676	84.94192523	65.29873673	95.6433691	65.64928719	53.44721344	57.71590212	66.42847909	68.24248817	67.54475404	36.72297619	58.51855197	66.55775031	76.69955195	94.16566675	71.67573029	77.0389983
Dctn6	22.22203541	28.93197092	32.23478417	22.47296412	26.65399392	84.74030052	51.60566608	104.2266816	64.62271997	64.04156833	64.44717025	94.69332885	69.6655453	91.28928369	42.46946628	72.61386925	52.78445538	35.55795248	29.81747441	45.98106336	38.56029672	54.92129716	76.18238692	51.70602608	83.20728454	88.89913957
Dctpp1	81.80424523	87.98239738	143.5384869	122.7022552	114.8279843	128.8480279	112.0952278	121.4991579	68.02556642	135.6301714	115.2070781	110.4516802	67.40795808	29.74409739	83.94753177	116.2207703	32.10360567	170.3080103	117.8777884	251.4230263	151.7511176	100.8282891	120.469107	158.7504234	164.9084566	155.3287252
Dcun1d1	13.7815811	29.97705834	23.38877912	23.86581859	34.29536724	15.37137771	18.72191107	17.88095913	21.20811126	19.05147484	21.93989959	23.45456311	21.87333952	45.04136026	44.00355828	15.52876046	12.86850537	30.70198763	21.80791637	7.006176778	20.73694504	23.1422652	21.20391038	20.40328088	23.02508616	13.14957195
Dcun1d2	15.23616083	2.757787077	1.463147751	0	14.11472761	12.50077039	9.36959452	6.991195706	9.476644498	12.35419086	13.00563162	10.30381352	12.07363558	8.287302898	18.89149364	4.857216109	11.73993095	5.648956195	5.684386025	0	5.765578508	13.7016964	10.40841234	26.06472957	13.49231662	9.663151104
Dcun1d3	3.29048761	2.872832958	6.096742011	5.916799138	2.940709601	2.504281107	1.22005793	4.024730456	2.467994799	3.028133507	2.017814661	1.932057901	5.240545117	1.079127768	3.514211631	3.162402076	3.49419502	4.413459166	3.947680045	0	1.501524909	5.184165373	3.151923648	9.215246326	4.985787386	1.935820432
Dcun1d4	6.400052422	0.659659886	1.049950397	0	3.03860574	0	0.840449083	1.320226546	0	1.042979995	1.588562022	0.591518831	1.444000724	0	1.936639806	0.871380894	3.610516673	3.648306477	0	0	1.034340421	2.504452718	6.77425028	8.728519813	2.027996029	1.066807381
Dcun1d5	116.4088358	130.0469208	109.0392283	103.3099733	124.7995774	24.29215228	47.33946673	57.63179113	19.95013836	56.91144962	53.12754553	42.68884525	122.003032	172.718847	293.1630835	92.02827025	42.36820565	118.4455826	119.6671329	58.20007521	27.30968754	63.6759826	216.4670827	88.9911279	73.6965837	76.98956116
Dcx	0.369462338	0	0	0	0	0.318676951	0.388139675	0.121942498	0	0	0.183409072	0	0.666874392	0	0	0	0	0	0	0	0	0.128512969	0	0	0	0.0821129
Dcxr	0	9.11451633	31.43217516	27.88979861	9.329865701	47.6713642	3.870826494	24.32208207	20.88027553	16.81265574	38.41101438	24.51903546	6.650582855	0	17.83902636	8.026576076	33.25765685	16.80287558	0	3.714240413	19.05529977	14.52513867	15.19996295	13.57423996	15.06495047	9.826713742
Dda1	42.12547325	55.16786367	45.85537209	119.898315	48.94180979	53.86130749	40.61049968	59.86760227	29.48937375	63.96516081	63.47405052	68.70718727	59.03963575	38.68257999	30.59295004	58.29940355	71.5734013	69.30909208	35.37728656	81.30757974	54.78503385	47.0614493	53.90967079	97.1190398	69.66483392	43.28721396
Ddah1	78.23424992	93.78684057	93.00145095	65.9636593	77.71651141	66.96128211	102.4203955	117.9844923	108.7061582	129.4553339	106.6528406	117.4715037	114.0556323	75.49142412	115.8179862	61.94408871	109.9979027	98.79929406	90.52034559	125.1214294	89.86808913	132.7148779	99.76212672	124.4554739	95.44544715	90.8833337
Ddah2	0	10.32978517	3.288289094	0	3.172154338	12.96661106	2.632162016	10.75036027	3.54964684	4.899688244	14.30353012	12.04157075	18.08958537	0	12.13053792	10.91614346	18.84600555	11.4259554	4.258377086	0	6.478801923	8.42458043	0	3.550185837	5.531849814	3.897929784
Ddb1	115.6454984	125.2824534	155.6862312	140.5059597	138.8722383	121.9415861	157.0571811	156.0738016	139.2829237	158.3600896	142.7828394	162.5041334	112.9241171	107.2064056	93.42670483	171.6873633	122.2296781	150.6809876	140.8547982	85.38514985	161.7755128	222.7025105	121.7234602	180.5196584	187.4955582	179.3133308
Ddb2	8.83140393	2.912837595	2.318115027	5.142164114	0	6.093968646	0	4.663743361	2.502362002	3.454088318	3.94568943	4.570911571	3.188112303	6.564928719	2.137888538	0	5.314278327	1.789966903	0	28.043	15.98555566	5.324620025	0	6.256854934	3.177563862	6.280886486
Ddc	0	1.335108663	1.062515624	0	4.099960131	2.793190511	1.701014228	1.603231547	2.293931658	1.055461805	4.420825905	4.788782416	8.76769037	3.009056605	0	7.054472798	0	13.12699519	5.503886133	3.264406605	18.84093905	9.762228193	6.679543316	11.9302559	6.487808542	3.238723031
Ddhd1	1.08452857	0	0	0.75777178	0	0	0.683612682	0.214771752	0	0.424174627	0.484545034	0	0	0	0	0.708772301	0	0	0	0	0.420660956	0.075448008	0	0.092203749	0.425690636	0.433865103
Ddhd2	2.642315214	3.268153266	6.762300632	0.461553517	4.014444206	3.418663568	4.996604718	6.540798963	4.492170832	3.617065378	7.673458195	7.326405017	8.584816115	4.419441702	6.716286817	6.04391585	7.155033745	7.631584926	8.083631216	6.392636885	7.686649809	10.75343639	5.851778565	7.862492654	10.24176553	8.632630997
Ddi2	8.28323635	2.364262783	6.898995909	10.57347507	8.470431901	8.243818845	11.0448166	6.939937404	8.124368298	7.476212635	2.372294515	4.946762169	8.625649987	5.328555452	5.784199703	8.328224739	12.94032028	11.62289896	0	0.722592406	2.47142769	8.53285202	3.735283351	3.521094175	5.236421836	5.310423858
Ddit3	16.82799853	12.80845923	2.548329665	0	9.833314252	0	12.23910007	3.845178761	5.501748834	12.65705918	6.747284961	10.04970799	0	7.216899252	4.700409357	4.229848931	11.6840907	27.54822771	0	0	15.0626566	4.502626224	0	3.851808973	5.398475708	7.76772952
Ddit4	0	0	2.634534289	0	0	5.194339743	0	1.325084352	0	0	0.996504485	0	0	0	0	2.186467904	0	0	0	0	0	0.465494058	0.435844635	0	0.328299692	0
Ddit4l	5.801052048	2.050012493	2.447183173	5.066571845	0	0	2.611847646	6.974833017	0	0.810312278	1.234186003	0	0	0	0	2.707973847	0	1.889628787	2.112755996	0	4.01800009	2.306085963	2.429101025	8.454687328	4.269343847	6.078044553
Ddo	0.375825301	0	0	0.328241476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728865216	0	0	0	0	0.501162401
Ddost	117.3220747	173.0670452	132.4340775	228.9073014	151.2640661	154.5780961	108.5531256	131.6213561	128.0922678	159.9707283	194.3599947	165.9335965	119.4819272	99.0144798	99.66438378	158.2710538	133.5862446	170.1621997	123.4827723	190.8277441	177.4325825	169.7881245	136.0126518	144.5832246	187.4755784	155.3723052
Ddr1	0	0.696216175	1.108135366	8.849245982	2.137997183	1.456558906	1.774048288	2.508100874	3.588634474	4.953504091	1.676595165	1.248597911	0	0	1.021981166	3.678680398	0	1.28349474	4.305149076	0.851141462	1.091660334	3.230628696	5.316412403	8.853309163	1.518980228	2.064198606
Ddr2	1.632051969	5.382951984	5.622617359	2.019338393	9.814928683	15.13292666	9.430061747	8.483976444	12.7170701	13.29830947	4.456021865	7.240361737	4.418746727	7.582532266	6.913967635	3.999732904	7.365628225	8.269690275	6.93463096	7.506215531	1.84634132	6.386505483	0.974472896	2.71724115	3.102907314	1.813615443
Ddrgk1	24.57713137	25.33189825	30.23971578	16.09903697	15.55825016	7.949557191	32.27446614	39.54492199	17.40971202	12.01558425	44.22724039	29.52973753	0	5.709281788	22.31093488	20.07737558	9.243272477	26.46338443	31.32865976	22.45243149	27.80412269	24.22175713	24.01302049	22.20075339	36.42680395	48.47756194
Ddt	35.17576705	54.95649255	40.09120939	42.04078017	42.19121534	57.48743821	46.67873526	62.32683297	39.34337631	65.16826728	45.49312963	80.07941137	50.1250826	30.96511945	26.89035501	114.942151	33.42148767	81.61396712	47.19876081	159.5659637	46.6760976	64.39716652	50.64815241	97.586389	34.06311462	30.85975375
Ddx1	61.64813557	42.92571725	60.23202684	45.46722753	57.23753575	49.6291918	46.05483965	49.73762348	34.93577085	30.36258814	73.10827508	61.78916104	34.61858682	53.46468376	64.66918001	44.76547289	59.76679767	62.47484725	32.59754027	16.57192077	21.25487873	57.81817046	26.17539185	61.92335077	64.07894073	50.23802925
Ddx10	13.05568889	29.81161279	17.1346418	0	24.15847945	19.92345969	20.04600823	20.55100391	14.22809749	18.33018761	31.40853136	25.24703532	58.00698395	48.52550488	49.83857439	22.97154596	22.66220976	24.42603291	15.36201948	38.4701789	11.68608126	33.88480242	22.24127595	28.60281849	26.77231353	14.7313176
Ddx11	6.520342564	4.704408187	3.743895414	21.35546952	2.063811256	3.515045168	6.849963801	2.690080884	3.464113182	3.187748978	3.034536248	3.615819205	1.471140978	6.058717348	0	0.887758655	3.678376987	3.716877057	2.770510393	0	6.849576732	6.142558643	3.716231905	4.735006893	2.665951717	3.441717693
Ddx17	10.52374622	14.98848761	16.63676175	13.36919037	13.92948553	19.39215274	20.10136457	26.83993868	23.71953234	19.33266893	36.33203773	37.13744446	12.95128354	8.889717505	12.73783681	28.13558402	28.78473482	20.60259246	11.3821704	3.978192584	25.3572116	28.6188986	18.17560271	19.18184838	22.21814944	22.32586003
Ddx18	49.12967469	60.766144	58.22859634	7.443448321	74.26141659	53.18674391	34.7599875	57.08497563	57.52984764	54.90090873	64.58115605	60.04928737	46.14895333	39.12977745	49.15052327	57.33523551	49.77557713	64.77586986	79.24103204	36.38601368	34.02883402	51.09309561	36.89950988	42.83427865	57.43383422	36.43399401
Ddx19a	3.940692472	9.74810795	6.033850861	0.764834507	1.663071207	13.5960582	5.519873743	12.13931646	22.33175876	14.55635536	8.151019696	8.255535434	4.741930144	12.20566844	0	7.153783338	5.928258056	8.652665252	8.930188841	2.979325659	4.245816794	11.72728672	6.844876519	7.258923662	10.63404139	7.006542303
Ddx19b	3.006602405	1.652765628	1.972973456	3.50124241	6.344308677	1.296661106	2.105729613	2.315462213	4.969505577	2.28652118	3.358220115	4.07560856	4.522396341	5.587483776	3.032634481	2.183228693	3.015360888	3.554741679	0.851675417	13.25983827	3.563341058	5.926256578	6.310384618	9.017472025	4.876223169	1.781910759
Ddx20	27.4588227	33.96250402	35.21866825	28.34262191	42.66606112	21.53127298	26.22449241	25.54087865	26.52411384	26.84884517	33.76808049	23.99427381	33.79281399	23.19527398	45.32165922	29.90862185	16.89881678	34.1513796	53.03329397	9.750909009	12.90978981	38.7837282	19.24069111	49.342343	45.82657871	21.08210838
Ddx21	10.22168749	21.75723253	20.59080457	17.64739118	11.73757298	19.06854568	8.990306696	15.77012418	16.16537461	17.20004412	17.523919	13.70956821	15.44651502	9.277131507	15.53721651	22.52619738	8.582621123	11.56326922	8.484432524	7.009131101	15.67452078	18.10818996	21.21285152	8.993355013	19.36089119	19.81192287
Ddx23	12.82133222	3.964523094	3.155074823	0.349937608	6.087289775	8.294207503	11.36487864	1.983623964	5.108766775	7.051790116	5.071938695	3.999373587	6.508779382	8.935208597	5.819554441	2.61847791	0	4.263416193	2.042931438	0	4.662250851	7.525818118	1.565881045	7.834631857	3.735079832	7.212891697
Ddx24	7.856974925	20.31927967	21.79520091	22.45808008	12.20832284	27.72398628	10.13011356	21.92454265	16.69694507	16.06327948	27.39124737	30.10319336	1.933872366	7.964420967	12.96818673	23.33986962	27.40043252	16.82948768	16.38874932	11.34037483	8.311418368	23.10587469	37.45268033	37.64973766	24.88193454	16.66837253
Ddx25	0	0	0	0	0	0	0	0	2.860909394	0	0	0	0	0	0	4.399042888	0	0	0	0	0	0.234136564	3.50757354	0.286134381	0	0
Ddx26b	0	0.732416491	0.582876875	0	0	0	0	0	0	0.579007277	0.440942767	0	0	0	1.075119892	0	0	0.450077025	0	0	0	0.720916809	0	3.649941584	0	0
Ddx27	39.14846881	38.7366944	39.3909631	60.4055494	26.43461949	29.2649208	42.49844922	40.05542891	48.0681343	37.42817408	38.54438596	42.93669056	16.48790333	7.2753695	26.85145114	38.37706686	27.48375809	45.62447467	51.01180884	20.38963226	27.83860201	44.48323718	36.26657827	37.72072451	46.20545851	28.13238014
Ddx28	12.05212081	4.472007478	7.117889273	31.05224011	11.44416985	6.237279507	18.99208296	17.30364695	10.24483856	8.249074274	13.46159854	9.356809897	3.263086617	3.359657535	4.376329823	25.59838559	10.87850668	13.74045946	12.29034541	14.5790388	24.54222802	18.23599719	24.33601764	27.92142415	21.73121119	4.419657731
Ddx31	4.065417915	4.190267423	12.00502178	0	6.433906786	11.3964355	9.609605918	12.74716813	10.07937579	5.300143533	6.811293802	8.266333468	1.834505727	3.777595702	1.230185261	6.64218465	12.23178245	5.1499198	12.09184599	3.329758495	7.227329369	7.777583267	5.516813476	0.432038841	5.485307808	10.84245579
Ddx39	213.3980911	247.1303035	306.381728	252.2651488	271.0385036	225.0984922	229.1837271	311.5645518	173.3100627	187.3931399	392.7032563	270.5961544	165.603121	166.7151579	172.7450021	286.4747414	282.1788896	386.3749836	239.1005579	204.4981516	200.339083	267.125968	207.1720086	358.8063045	345.4488491	282.3003397
Ddx39b	80.80885302	114.226976	124.9942655	213.4129733	99.87414256	107.8706978	97.02167158	118.750698	98.13016863	100.3349128	140.8809633	128.7458568	76.40225901	64.36094793	95.48140986	144.6016444	138.9330102	117.9642153	114.4529678	112.0071663	98.25998651	135.8571417	94.41069137	172.8443719	153.7149394	113.74505
Ddx3x	103.5965606	106.1678642	71.86613005	102.9749019	171.4462326	56.16689981	82.40262186	59.83679149	68.14296877	41.96517058	62.26408985	65.92943881	165.6200279	155.3946347	213.1668035	57.22557159	71.24458016	79.86420366	71.68718372	8.018810219	64.10059439	88.28526093	111.6619462	66.99995213	74.36713434	68.08616297
Ddx3y	23.81306861	17.43151248	20.09116289	7.64010332	24.91918656	13.20414596	16.84810601	14.67659431	10.32763628	12.35481734	24.42670881	21.2903435	2.631566837	0	0	0	0	32.13549955	13.62864218	15.61541915	14.13747187	25.18734176	0	0	0	0.162013707
Ddx4	0.791488874	0	0	0	0	0	0	0	0	0	0	0	2.142939649	0	1.437015286	2.586309876	0	2.406308613	0	0	0	1.238893892	3.093288353	0	1.553344981	0.263862268
Ddx41	48.57605926	24.03256142	27.17871598	67.43464336	15.53708247	38.37058376	12.89222212	27.84630212	34.77205068	25.99834578	35.40980393	32.32509573	30.45695495	11.40302811	7.426859954	28.40425085	32.30743809	37.30924211	49.53622325	49.8693626	11.89984027	32.37030904	13.98853733	28.47393946	46.16146783	30.6834123
