Symbol	E4_wt_male_IB57	E4_wt_male_IB58	E4_wt_female_IB155	E4_wt_female_IB156	E4_wt_female_IB157	E4_wt_female_IB158	E4_wt_female_IB59	E4_KO_male_IB161	E4_KO_male_IB162	E4_KO_male_IB60	E4_KO_male_IB62	E4_KO_male_IB63	E4_KO_male_IB64	E4_KO_female_IB159	E4_KO_female_IB160	E4_KO_female_IB163	E4_KO_female_IB61
Tecta	0	0	0.123967698	0	0	0	0	0	0	0.396258539	0	0	0	0	0	0	0
Tectb	0	0.304158601	0	0	0	0.819308273	0	0	0.325680914	0	0	0	0	0	0	0.206970007	0
Tef	0	0	0	0	0	0.333873941	0	0	1.592607431	0	0	0	0	0	1.223816008	0.253025244	0
Tek	0	0.890451427	0	0	0.157735553	0	0	0	0.667421942	0.124956818	0	0	0	0.783096964	0	0.242369261	0
Tekt1	0	0	0	0	0	0	0	0.37359891	1.262418906	0	0	0.724993832	0	2.592128928	1.10867136	0.802266386	0
Tekt2	0	3.328643328	1.826656561	3.170891141	0.491366309	1.49438758	0	0.703186168	2.376119118	2.72479466	5.064398138	6.822900456	0.447009706	5.692042148	3.65178833	3.397549817	4.232962148
Tekt3	0	0	0	0	0.422139888	0	0	0.302058693	0	0	0	0	0	0	0	0	0
Tekt4	0	0	0	0	0	0.485773508	0	0.685744214	0.28964768	0	0	0	0	0	0	0	0
Tekt5	0	0	0	0	0.574863951	0.582776049	0	0	0	0.910805061	0	0	0	0.951326879	0	0.883309741	0
Telo2	5.614921228	2.347301582	3.349129022	6.708172422	7.900268504	7.587476787	10.04841325	4.909159512	6.786171976	8.399603686	9.35038025	6.062352843	1.89134098	2.580383229	3.97313152	7.666858382	8.955034621
Tenc1	0.702014264	0	0.193260031	0	0.467878436	0.158106015	0	0	2.922444785	0	0	0.2165586	0	0.129046572	0.165582317	0.119820113	0.671770284
Tep1	3.643198614	7.209002254	3.566041768	4.062376522	2.518049177	4.284899633	9.204474267	6.692285563	6.19703393	9.475195542	3.033461288	5.619301698	9.162959697	12.27792049	4.296559903	3.661845313	5.810405595
Terc	12.48506729	18.78964659	0	0	3.698243151	14.99657461	10.51443093	1.323123596	10.05960254	5.859436087	8.662938881	0	11.77538413	21.42043065	1.963214021	1.420637959	11.94718914
Terf1	65.7638623	43.64946003	75.75982582	63.82170852	105.1927104	70.18222431	65.18238919	111.9396593	122.0081875	71.58074425	62.7604193	57.42768046	42.53189223	109.3583162	139.3653535	108.1015881	93.91188129
