Symbol	troph_wt_male_IB178	troph_wt_male_IB179	troph_wt_male_IB182	troph_wt_male_IB82	troph_wt_male_IB83	troph_wt_female_IB180	troph_wt_female_IB181	troph_wt_female_IB84	troph_KO_male_IB183	troph_KO_male_IB184	troph_KO_male_IB190	troph_KO_male_IB85	troph_KO_male_IB86	troph_KO_male_IB88	troph_KO_male_IB90	troph_KO_male_IB91	troph_KO_male_IB93	troph_KO_female_IB186	troph_KO_female_IB187	troph_KO_female_IB189	troph_KO_female_IB191	troph_KO_female_IB87	troph_KO_female_IB94
Bank1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24069409	0	2.139970161	7.611748711	0.824804618	0	0	0	0.864716124
Banp	4.690452633	6.763663304	5.117721898	4.96860339	9.158682724	4.506476564	3.91462085	4.24613562	3.344871934	3.718835225	4.171402153	0.978732824	0.316429272	7.22455928	0.716346205	5.174903699	4.840373204	5.097115779	5.236816316	3.867933195	3.363397488	5.157582112	7.720623069
Bap1	14.41850186	23.0438619	6.991105797	12.73222853	14.66841288	8.680515464	19.33126589	22.87457382	11.785616	11.91206468	12.47093296	0	0	15.16167102	3.900784808	5.581748231	19.9926995	15.41988099	10.74611121	8.948081247	14.36471583	9.220809381	14.83828497
Bard1	0	0	0.150714633	0	1.222726732	0	0.979912662	2.705558147	0	0	0	0.122498797	0.316835844	0	0.286906648	0.105745976	0.255083815	1.701221645	0.491582341	0.860645113	0	0.120097883	1.546108621
Barhl1	0	0	0	1.467843568	1.803795081	0	0	0.570186097	0	0	0.410777123	0	0	1.103951676	0	0.155998937	0	0.836560657	0	0	0	0	0
Barhl2	0	0.579803305	0	2.342586992	1.43937235	0	0	0.909981528	0	0	0	0.288406847	0	0	0	0	0	0	0	0	0	0	0
Barx1	0	0	0	0	4.89450054	0	0	0	2.681304394	0	0	0	0	0	0	0	3.063254862	0	0	1.72255495	1.28388323	1.442233503	4.125985681
Basp1	22.91453933	32.18549097	42.93587723	35.06682242	14.3642377	115.1508667	23.0234574	20.43264183	263.6119717	52.49271241	70.32991526	328.1102864	134.9259533	70.32916077	208.9707384	193.7945783	74.16709737	81.60728134	38.01852775	121.3272989	59.34447427	170.0104334	13.6224255
Batf3	0	4.710901854	5.766104791	7.613407722	0	42.45819729	2.499327802	0	5.12535854	11.3967675	2.13061786	1.874644507	0	57.25974071	80.12915839	4.854809621	13.66274769	17.35628375	7.522866838	0	20.86039768	43.19070714	3.943445584
Bax	154.3410337	193.7617243	128.5025222	106.0445191	91.987322	233.9547126	153.5835496	135.695105	104.9843291	88.70855624	165.8400369	39.93488965	564.1180167	237.7015028	71.94786737	275.7874513	121.5384848	99.54397954	233.1944438	59.35183005	235.2608905	484.8847676	103.3917885
Baz1a	7.881005527	5.53689167	8.371723466	7.018282956	11.85880686	13.11812555	6.911881126	5.111742811	7.677669307	19.69857208	11.78443049	51.08717255	25.28143904	6.158117229	80.18973486	17.71480405	8.99625585	14.99960434	4.189786764	8.347101523	3.534886462	16.4129238	4.998392267
Baz1b	8.532099463	7.299591122	4.084406391	10.11176054	13.97934178	16.11169362	7.192220779	10.80180467	19.28721896	13.24455679	4.48049097	56.02077724	40.78509172	13.73118193	70.4631667	20.95575215	6.912838787	11.04564366	8.465028046	8.017525309	9.506882894	21.15544835	10.03853022
Baz2a	12.72225096	8.17599561	4.709341554	17.48836779	8.755594167	11.59069387	6.378975009	9.057844567	12.64528655	13.0894646	15.04492688	49.91943795	44.65352411	10.06760662	74.70748804	18.10435796	9.797120412	16.24261135	8.106850088	10.64489149	6.994471268	11.88344801	9.729270453
Baz2b	0.465433285	1.260963203	0.2057878	2.717166064	0	0.749324212	0.891990674	0.791615509	0.45730016	2.033708887	0.38020048	6.18867605	0.324458962	1.532666744	4.015398757	0.433160959	0.870737232	3.871451764	1.342426363	1.468920606	1.094840273	0.655933098	0
Bbc3	6.474296335	1.018470279	4.570863636	8.229877983	6.742323112	3.698587458	3.60227003	3.196908788	20.31468021	6.159791341	5.373987558	0	23.5856707	7.565085851	0	1.457753226	7.032877644	6.253883619	1.355334309	13.05079461	5.747911434	0	5.683670559
Bbip1	4.77567486	7.227643835	4.259462565	12.97864237	5.316372893	12.19570506	7.101043076	11.76367182	8.737243289	9.714084349	4.842777067	91.07809975	50.62647379	13.55710807	66.42724664	34.71337403	9.98185922	11.09527796	7.480839649	8.419623137	7.32136205	27.93670368	7.842830324
Bbs1	1.54839517	2.037547116	1.173619185	4.842546273	4.760704116	2.967664827	0.635884007	3.009751303	3.912012093	5.79917703	2.710380412	0.596188533	3.392413517	1.214011536	0.83780637	1.029308692	0	0.551977579	0.797492881	0.837733531	0.156098363	2.221113462	2.006598718
Bbs10	1.648937876	0.731019714	1.789524131	0	0	0	1.292787065	0	0	0	0.551035204	0	0	0	0.283884384	0	0	1.122200693	0.972808062	0.851579109	0	0.712996657	0
Bbs12	0	0.826827146	0	2.227093796	0	0	0.731109858	0	0	0	1.246507737	0	0	0	0	0	0	0	0	0	0	0	0
Bbs2	1.820459562	0.682896937	5.293781175	3.678823413	1.130202788	0	0.603841668	0	0	0	3.088564472	0	7.028659699	6.455888422	0	0.195488319	0	1.048326606	2.120459695	3.182079792	2.075255435	0	1.905485752
Bbs4	5.682118912	11.87547564	7.106236463	4.264945947	7.861623015	1.829585213	3.500238778	2.48508724	5.742337184	3.192170913	3.580644964	4.463158361	1.018561179	0	8.301105488	12.01161132	9.293801173	8.507446718	4.214225955	1.84452973	7.217676356	13.89922752	1.104537079
Bbs5	14.25054601	14.6552538	5.786422285	3.820117194	11.73610859	19.89924881	10.03253782	8.903582474	5.143418295	8.577693932	4.276250645	0.94062501	1.216435291	6.703841853	8.261455701	29.23149641	10.77284203	4.354360124	13.84051987	6.608589956	11.08265376	17.06050094	5.936011112
Bbs7	1.747315617	5.164221894	0	12.51904457	2.564055133	0	4.794707377	2.43152108	0	3.123363533	2.919553342	0	1.328808066	0	0.300821289	3.326235999	0	0	2.405309746	8.121468661	1.008871291	10.57748928	3.242186208
Bbs9	3.12093911	0.975614346	4.776575464	3.153430075	1.93758442	4.831303094	1.55281099	2.449909546	0	1.180119031	1.764979542	0	0	7.905552722	0	0	0.404216586	0	3.115928557	1.363814594	2.541252292	0.380624355	2.450029019
Bbx	10.19672646	5.294833821	2.911678448	6.200807937	14.09702377	12.16016109	8.753079385	7.948754223	10.85342454	8.353979197	12.32063533	26.41400272	8.49041777	8.238974969	15.28737866	28.40320937	11.92258599	7.067990181	9.905423536	12.33611018	15.89058837	16.69039101	7.06590387
Bcam	0.85725837	3.623108231	0	0	8.302553263	0	3.696554622	2.624466874	0	3.371208334	1.260490167	0.554527166	0	0	0	0	2.309425214	1.283514129	0	0	0	0	2.332973208
Bcan	0	1.233147838	0	0	6.122624296	0	0	0	0.958312836	2.130908209	0	0	0	1.427483732	0	0	0	0	0	0	0.22943344	0	0
Bcap29	25.27896118	30.06719032	31.89505933	5.3991497	9.952313597	6.286660971	15.06566918	5.243270058	5.452074622	18.18488201	37.7739023	7.644217739	15.47320229	10.15162734	30.74759115	12.62379447	15.9178398	23.07832551	26.67470711	19.847985	17.40403462	3.910119117	0
