Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
2310009B15Rik	0	13.49749017	11.62638678	37.42681786	9.667709537	11.23625732	10.82296168	13.96030877	16.87003083	9.077795181	21.28059112	24.79398475	0	14.35663459
2310011J03Rik	11.2561271	0	36.92912071	45.29366149	21.50053416	17.40299167	18.39259262	18.41879999	40.9302332	18.4341074	57.13049834	17.06734815	26.67314716	26.3536696
2310014L17Rik	0.979018878	5.234809247	1.405442637	1.631747483	0.524403272	0.220092036	1.311728588	0.683624602	0.682557491	0.960189141	1.375562343	0.168111778	1.004548225	0.421819407
2310015A10Rik	5.30870489	0	0.352339683	0	0	1.250663339	0.876922373	0.731231401	0	0	1.797393718	0	0	0
2310022A10Rik	22.06980942	0	5.87059707	0.846693489	7.979518435	10.11267759	10.38903629	12.89068141	14.08081109	12.03225962	6.790474057	14.24484065	6.713668948	7.719056827
2310022B05Rik	0.426172381	0	0.344135826	2.293062058	0.25681013	1.724531245	1.051164199	1.740875786	0	0.313481769	0.979838124	0	1.377449163	1.790298333
2310030G06Rik	15.03535819	0.620536786	15.88270883	17.39171144	15.385346	13.77542229	11.50647703	9.627217765	13.73170008	7.303532073	10.92500771	27.18186077	19.38616311	12.10064706
2310033P09Rik	34.35366638	0	12.07447177	56.84635951	19.84598056	17.80759162	14.00564063	13.2034848	8.907347753	20.67520885	37.86036083	8.77540773	13.63368642	7.339635017
2310034G01Rik	9.38971871	0	12.27599745	0	0.538877601	1.357001466	3.431105476	1.685984837	0	4.27566457	2.313049023	1.382015354	0	0
2310035C23Rik	8.342446558	8.553903315	9.683801341	8.076321947	8.797480866	7.2527369	8.645130938	6.307733134	6.484837272	5.513257682	6.780646113	2.518100489	6.139116417	8.845645032
2310036O22Rik	144.9641839	32.83279615	64.85564992	122.3671425	123.7726938	113.4850792	91.36499766	93.83299467	111.1775089	144.1130516	81.50760639	139.1807212	115.9962647	110.7926957
2310039H08Rik	10.02773138	32.40358005	1.717636961	30.02464929	12.63469294	9.222226434	9.993387971	10.31220739	30.64318581	15.75813643	39.82287764	9.1574161	31.14827243	9.426636022
2310039L15Rik	6.585757315	28.21122614	13.88595203	16.46489126	14.55137398	9.438417256	9.626029784	10.34700975	13.52850514	13.32187653	17.0344171	8.481527253	17.23160091	9.221988453
