Symbol	X8cell_wt_male_IB105	X8cell_wt_male_IB106	X8cell_wt_male_IB11	X8cell_wt_male_IB112	X8cell_wt_male_IB16	X8cell_wt_female_IB10	X8cell_wt_female_IB107	X8cell_wt_female_IB109	X8cell_wt_female_IB110	X8cell_wt_female_IB111	X8cell_wt_female_IB12	X8cell_wt_female_IB13	X8cell_wt_female_IB14	X8cell_wt_female_IB15	X8cell_KO_male_IB113	X8cell_KO_male_IB117	X8cell_KO_male_IB17	X8cell_KO_male_IB19	X8cell_KO_male_IB20	X8cell_KO_male_IB21	X8cell_KO_female_IB114	X8cell_KO_female_IB115	X8cell_KO_female_IB116	X8cell_KO_female_IB18
Bhmt2	33.2608418	54.30734614	52.42666486	28.01771676	28.53764054	15.15767603	35.21131392	24.04809269	26.08055814	16.4992254	5.162746547	20.91872734	36.9779706	30.17118162	68.50789065	27.39504528	39.64137882	64.91354182	38.69095448	49.83987666	21.94947195	20.17424374	38.18598077	10.24646235
Bicc1	0	0	0	0	0	1.178759069	2.260150984	0.558891055	0.338032189	0	0	3.52468076	0	0.489991721	0	0	0.888111136	0	0.165042912	1.767941449	0	0	0	0
Bicd2	1.076611031	0	0.216334464	0.768343936	1.906489246	0.959253628	1.655344403	1.364447459	0.330101659	1.656487727	2.454063641	1.720994337	0.960693615	2.512104462	1.078225549	0.391965967	1.48159526	0.951338803	4.109856953	0.755328	0.424892758	0.406468235	0.310279512	0.870174625
Bid	14.46336681	20.91689606	26.70137584	9.03179967	9.011659551	16.752799	8.339311714	12.83114558	9.423608091	19.78091037	29.16425483	20.23010187	12.90611348	16.47224681	5.925704933	27.97421306	4.369168641	11.47334903	5.683637992	5.43599924	8.562117094	18.42939014	9.378776639	10.59412297
Bin1	1.856770308	0	0	0	2.192009631	0.992622369	2.854879104	2.117867002	2.561884687	0.476141822	5.860225544	0.556519096	0	0	0	0	0.093483796	0	0	3.070583033	0.549591426	1.051519251	0.802682355	0.562777907
Bin3	4.619079001	4.647028912	5.767843847	2.825565916	0	3.52763161	3.043744152	9.031899518	1.213940727	2.707419044	0	3.955571452	3.532927128	3.959229573	1.441871972	1.441445196	3.322274457	0	3.259860311	2.380885828	0	1.494776931	0	3.20004577
Birc2	6.895625081	4.016360702	1.750242271	15.54061254	4.855813268	8.924907973	6.138217373	7.175342395	16.69168499	16.37988522	0	2.175564299	2.590813227	2.661482102	22.40308576	3.171179431	3.72759194	12.68215326	0.814965078	12.65837632	3.437571852	6.165954841	10.98256072	11.44016363
Birc3	27.97292835	18.76146114	10.87519355	18.22746337	22.17515495	15.17094932	15.58326263	18.49649053	15.66203783	29.31676846	20.04571696	20.89965789	40.51659532	33.78389202	5.093614069	29.66705482	13.7979223	14.06877518	17.11455655	14.87129013	11.99970608	20.05062543	29.79362155	9.830094354
Birc5	59.71519526	62.09026857	53.49357268	44.28346675	56.44991626	67.41390752	75.9142106	55.80893675	44.80173343	79.21746836	78.26571959	73.59215628	60.13250196	58.93706773	81.82528468	82.34762045	74.5749469	78.78850442	58.43127834	66.00209077	70.70117225	53.65487792	79.03108013	59.65717647
Birc6	7.802541216	8.733735486	9.258756781	9.782380393	7.274980975	21.34456477	19.77851685	10.5834564	15.06534737	11.13985953	14.79033402	4.63508456	11.03956191	14.10556262	13.63172461	5.604627354	8.352245527	10.41821135	15.78454443	6.256115779	12.56700529	13.50823668	8.083143012	10.26925618
Blcap	6.574573711	11.57512346	8.587126141	5.865086942	5.82120827	9.372645831	5.896766515	5.832619299	7.559407339	1.966946444	12.10432403	11.16650214	6.844480135	14.61023392	3.292216568	13.76337611	7.833987058	4.621248817	17.22397347	9.554639817	3.243382096	6.205480193	6.63177705	6.974522834
Blm	5.529766809	6.258630672	5.000186673	13.81248134	6.981509312	10.34667332	9.210823555	8.059398858	10.80876035	5.908452145	4.120779638	6.905855134	6.579177948	12.44203503	22.02637266	6.668869806	4.222553067	9.161877384	6.932970199	8.451920047	9.820640977	8.698880442	5.378669619	10.47528125
Blmh	18.38833355	13.87470061	17.93998327	20.72081671	16.18604423	17.07373699	20.83273775	22.81390915	14.6886828	21.83984696	13.74540163	20.88541727	16.40848377	13.87196732	15.59624849	15.32736725	15.68999483	22.74041274	17.16859764	6.401937448	20.05250247	19.36566557	19.24563021	17.30691421
Blnk	0.543439569	0	0	0	0	0	0	0	0	0	0	1.303056156	0	0.362294785	2.07806274	0	0	0	0	1.63399691	3.217088584	0	0	0.329427697
Bloc1s1	82.87947465	72.95835391	79.31381963	75.41435429	63.59817035	44.30705302	28.67206991	34.66242326	57.17660824	27.62921135	39.23687375	27.32508759	18.4889853	35.91461137	74.70338685	93.91736175	148.9681288	114.8470355	83.74877489	74.759815	56.42305436	71.18626005	68.07476078	65.31293418
Bloc1s2	54.62930813	63.26775554	69.69261795	51.6807661	58.49330049	21.73367149	46.88112508	71.48883281	72.45345005	58.64188156	80.19427932	51.7866766	34.00983918	73.68639715	42.33469526	72.84962782	85.71171797	63.07095694	60.48003934	16.04377301	34.59607569	57.07842651	67.00428986	34.65601408
Bloc1s3	11.80603204	4.375909995	8.053357122	23.94644004	9.04721896	23.9171115	33.43858874	16.06491809	14.86051432	11.47257748	20.26501568	12.66429905	14.41616629	16.98419777	9.164810274	9.162097607	3.503858312	16.17257103	12.83681088	19.43048627	25.01330227	9.618381512	31.69698082	23.35344199
Blvra	1.94802184	15.18852178	2.642192659	0	1.916447167	4.16562037	0	1.481300139	2.687789276	4.99541954	0	2.335477572	0	0	0	6.914932927	0.588468511	3.286221381	10.49842192	2.928625231	1.153202523	7.722375351	6.737043352	4.723486364
Blvrb	13.17448297	11.92878123	9.530220919	8.461998271	3.110626385	11.26884586	18.2307959	10.0180414	0	14.18930151	15.24618409	6.317939328	11.75600221	7.026424635	3.598429039	16.54787417	22.02164823	11.4298633	8.875111019	19.80630937	7.79911533	12.4348736	30.75479762	3.993120698
Blzf1	3.389123499	2.699291196	12.34332878	12.09356217	5.668124038	7.247250308	3.908212751	10.30852736	6.234871778	5.069700871	12.47930309	10.49662596	4.536330966	3.953996391	2.62279549	5.244038353	13.0250614	9.052379343	17.75755381	9.510955398	10.36596171	2.559087742	10.25583365	4.451315216
Bmf	1.475837828	0	1.260359546	0.526629866	0	0.262992436	0.378195996	0	0.226254655	1.38767644	0	0	0	0	0	1.746270564	0	0.237111345	0	0	0.29122533	2.043044633	0	0.596425539
Bmi1	6.6587224	2.392505047	3.918443759	25.79724385	13.1015879	4.407281985	2.437648929	7.233393836	19.83310284	33.50016743	14.67773983	5.322081612	0.565884358	7.187226924	22.17128899	4.502210086	2.043429889	2.750927032	1.139227755	9.343243434	20.27249177	4.429361488	17.54555531	3.459815763
Bmp1	0	0	0	0	0	0.547123466	0	0	0	0	0	0.306747728	0	0.170573005	0	0	0	0	0	0	0	0	0.22121522	0
Bmp15	2.604358288	5.240234365	1.682101105	3.982821038	2.488941179	3.182354445	6.864572184	3.394948409	4.106710353	3.816285251	11.74245324	1.784204218	1.32797152	3.224459069	5.690757514	6.704979038	3.146952079	1.613913117	2.00508548	6.93576475	3.964486637	1.264191851	2.573405394	5.638343786
Bmp2k	0.347013635	0	0	0	0.068277807	0.185512174	0.266775586	0	0	0.266959844	0	0	0	0.115671767	0	0.663277671	0.139770231	0.54358173	0.07792297	0.417355849	0.410854736	0	0	0
Bmp4	0	0	0	0	0	0	0	0.869168086	0	1.758668263	0	0	0	0	0	2.184758146	0	0	0.256669041	0.343680193	0	0.215770625	0	0.346444273
Bmp5	0	0.226757994	0.951105743	0	0	0	1.386219976	0	0.414651035	5.086317206	1.422750565	0	0	0.90158089	0	0.492360731	0	1.520917332	0	1.897582329	0.533721104	0	0.389751816	1.912843815
Bmp6	0.472860073	0	5.130896947	2.0247935	2.046860999	0.505578406	0	0.719137412	0	0.970064873	0	0.566910531	0.843895595	1.89144937	0	0.25823401	0.571376065	1.823297696	1.486550407	3.412273714	2.239414028	1.071153427	0	0
Bmp7	0	0	0	0	0.683958267	1.23888557	0	0	0	0	0	0	0	0.386239026	0.632972266	0.949177372	0	1.116966814	0	0	0.685941511	0	0	0
Bmp8a	0	0	0	0	0	0	0	0	0	1.461160215	0	1.707817975	1.694823653	0.316555068	0	0	0	0	0	0	0	0	0	0
Bmp8b	0.387616591	0	0.350494945	0	0	0.828873441	0	0.589496994	0	0	0	1.394137122	0	0.258412301	0.211744294	1.270089721	0	0	0.348161952	0	0	0	0	0.704908042
