Symbol	X8cell_WT_male_XK113	X8cell_WT_male_XK114	X8cell_WT_male_XK120	X8cell_WT_male_XK18	X8cell_WT_male_XK21	X8cell_WT_male_XK23	X8cell_Xist_female_XK112	X8cell_Xist_female_XK115	X8cell_Xist_female_XK116	X8cell_Xist_female_XK117	X8cell_Xist_female_XK121	X8cell_Xist_female_XK14	X8cell_Xist_female_XK16	X8cell_Xist_female_XK17	X8cell_Xist_female_XK19	X8cell_Xist_female_XK20	X8cell_Xist_female_XK22	X8cell_Xist_female_XK24
1300002E11Rik	3.669377601	1.309410849	0	1.987995637	0.9075947	0.668176978	4.032161649	0	0	1.52535069	1.081998915	0.233050273	0.048554628	1.981377295	0.058461482	0.336870544	0.074191812	3.969600758
1500004A13Rik	0	0.476160333	0	0	0.396050418	0.303723783	0	1.224144926	0	0.554685715	0.555477439	0	0	1.148324573	0	0.122501192	0	0
1500009L16Rik	87.9747582	11.57779464	14.07627983	16.55245941	15.19723238	38.58670751	59.04916124	45.88766378	9.217773298	37.08961318	16.24986675	71.246201	33.4869148	25.25244826	5.233771557	7.260350198	20.17209513	100.9100883
1500011B03Rik	0	3.974665555	5.522739872	3.821839366	7.231791814	3.295865875	0	11.92139297	2.109645643	8.102749411	7.38982238	9.550102671	4.863727374	0	4.258981186	6.007524696	0.506714293	3.012392064
1500011K16Rik	28.93563354	4.261370777	7.40139075	3.45054379	3.10137755	4.07723899	0	18.25902974	13.57092641	11.16929109	0.932102787	0	6.162665887	3.627129798	12.27164905	9.592779878	7.96788961	0
1500012F01Rik	48.45383672	107.7064351	48.80103982	9.005662136	19.23172263	52.27300304	22.53179761	26.08468165	49.71102673	106.3756422	31.75338233	18.25288895	6.511780845	35.54103912	22.58039111	20.78212811	39.00418394	14.19661192
1600002H07Rik	6.778845508	6.450717126	6.722383087	1.305828751	4.527089141	11.21243893	3.414150872	10.36496019	20.54320358	7.984187082	6.58459794	30.91273214	15.42845382	0.457552071	2.484053758	6.74199575	7.53844899	9.777974428
1600002K03Rik	72.09461997	95.55682121	64.54331073	33.045516	24.00964404	28.78284381	75.60716011	100.0852868	101.4379845	72.66425473	38.70636763	45.06934526	61.41839673	65.14300973	50.84056569	100.7252412	105.1275188	72.42234747
1600010M07Rik	221.3164389	72.9344677	113.0346163	88.30150215	83.99612147	52.24778786	41.0312813	60.09769936	35.73383545	24.50837412	30.6791948	38.94285193	58.97897505	88.34357455	111.2157575	55.56960344	98.22634634	85.04139286
1600012H06Rik	0	3.134952558	5.227165078	42.77293956	12.84205336	6.398917893	6.51623511	9.671455595	6.655794217	13.87740739	5.02859758	12.18589097	18.83218362	12.98602839	6.802383787	6.290898502	6.714332099	5.702340131
1600014C10Rik	0	0	0.347972632	1.013909787	2.187145385	0	0	2.146097554	0	0.291732531	2.848452081	0	0	0	1.878426738	0.064428526	4.512303019	0
1600020E01Rik	65.63680526	12.68712078	15.86571251	48.54037275	11.87169852	19.4222662	4.883543798	8.697840307	5.387186157	17.73528159	18.87063307	21.94840777	3.669546281	13.67852253	35.34610414	23.82720147	19.84048123	7.692437298
1600025M17Rik	67.41571867	12.63609397	0	0	1.313772365	9.672075528	6.079878111	16.242859	46.94829325	7.359979747	2.763931846	12.81921358	5.622750144	25.09593646	101.126715	98.33889602	31.68153149	0
1600029O15Rik	1.235452305	3.820864235	4.645405781	3.093854078	3.376663688	1.340447725	0.367683065	0	4.056024071	2.781860781	2.507248292	0.306018584	0.531309482	1.626093016	6.908925637	0.245747279	1.623689249	0
1700001C19Rik	0	1.918918212	1.999731671	1.553798453	1.895340948	1.468802141	0.369316305	0	8.148081672	1.117687096	1.958744223	0.922133734	0.426935637	0.680548368	2.184693587	0.740516648	0.652360656	0
1700001L05Rik	3.164573107	0.57570743	1.399889898	5.827067744	1.047483422	0.220332555	0	0	0.611140059	1.508961365	1.385188899	0	0.960658523	0	2.506111207	2.073561747	0	0
1700001O22Rik	0.702367448	15.2054066	0.754560389	7.475274549	0.790451663	2.35545334	0	3.72295993	0	6.958673497	2.5340385	7.190955862	7.974250695	6.625230329	15.27476174	0	1.292317848	0
1700007J10Rik	18.10476955	32.66219879	64.83378468	39.19888402	47.21894177	15.675045	7.184216007	5.331439468	75.94914201	28.08352308	24.49475514	9.301202106	13.32271677	20.29908554	95.62114767	13.20465824	16.65589493	9.430332673
1700007K13Rik	0	8.596944528	2.986332288	8.701464594	0	3.290189872	9.927442766	3.683600279	0	0	3.760872437	0	0	11.89080518	0	0	0	6.515609204
1700007L15Rik	0	6.939702209	0	6.321666446	1.443039124	1.770624268	0	7.929356424	9.822419739	13.47359077	12.81818102	0	31.13729617	8.203933138	19.82963396	0	5.50489343	0
1700007P06Rik	0	4.199236574	1.458694507	0	2.401266197	1.071410554	0	1.799279845	0	2.445874193	0.61234132	0	0.467139175	1.787121668	1.687356079	0.270083127	0	0
1700008J07Rik	1.378453877	2.84208199	1.480886817	0	1.255835652	1.722208761	0.820483551	1.826653757	0	0.413847545	2.175800789	0	0.079041024	0	4.377736187	0.822576367	0.483100962	0
1700016D06Rik	4.423858311	4.104479454	11.40622879	8.308761916	14.36697978	5.75978607	3.686437575	1.172452345	23.23783862	5.578258601	6.982775824	1.899350498	4.870378984	3.687677689	12.27797592	3.343855789	1.860493334	0
1700016K19Rik	0	3.75241227	6.517402712	7.406165141	2.730963293	2.154163401	0	1.607825529	3.983359145	9.835282382	7.934174968	0	8.557370893	2.661601761	0.753905566	1.689412482	7.016241557	0
1700017B05Rik	2.491311857	7.0044015	4.86625691	3.04851068	4.806425813	5.361395737	7.684009713	0	11.89679375	11.0153568	0.663907558	4.637539836	1.597352775	0	0.093818001	0	5.774495817	6.370348358
1700018B24Rik	2.32114726	4.614799006	0.35623311	0	2.718865554	0.850372516	3.157928381	2.19704349	4.354508929	1.194631727	1.570192142	0	0	4.364395053	0	1.05532778	3.834990192	0
1700019L03Rik	0	8.253066747	10.75079624	3.132527254	11.36942526	3.421797466	0	7.956576603	4.380505997	12.6185205	6.167830797	5.83883458	0.688577089	1.170786972	4.421712408	6.369769468	10.17078946	3.127492418
1700020I14Rik	17.31387904	13.38659148	19.37549354	16.37212302	28.18397943	17.07755104	16.74655129	18.16354999	18.94731451	5.198074786	28.63021806	18.34570544	17.7460111	30.5427823	18.52787417	53.38125882	87.60563457	13.52756566
1700021F05Rik	591.0875718	282.8662806	287.4261688	372.3916772	400.3300671	286.7228269	370.3444684	301.7680826	384.0259851	307.0988431	290.7012	533.449687	339.7165611	224.9332096	509.5486531	257.1795901	503.7161394	291.6787194
1700021K19Rik	0	1.617055821	2.02218795	6.481394121	0.201749995	1.5265545	5.601953947	1.385745192	2.059895437	1.506984436	2.122221673	0	3.777637265	0	0.779727149	0	0	1.96090204
1700025G04Rik	0	0.177156638	0.369234851	0.753103999	0.331540976	1.559416422	1.772975733	0	0.376119927	0.309558303	0.232500111	0.245938044	0.532104757	1.407369002	1.257617128	1.116633409	0.33124659	0.537066824
1700025N23Rik	0	1.915727107	0	1.745116347	2.190955743	1.221966305	0.737404285	0	4.067265823	1.115828415	1.117421079	0	0.426225655	0.543533309	2.052762828	0.73928519	0.651275799	0
1700028K03Rik	5.496300569	0	0.369045675	0	0.276142593	0.745425741	0	1.820851291	0	0.309399702	0.38730165	0	2.12732854	0.07535614	0	0	0.180587387	0
1700029I15Rik	0	4.747213874	6.596184503	0	6.909937343	7.267342464	0	4.068151957	10.0787741	0	4.153490988	0	2.112393083	41.08006827	0	0	0	0
1700029P11Rik	0	13.49988945	2.34473746	14.85962025	17.36931516	3.874969712	2.598197911	0	17.91344616	9.828879203	2.9528725	0	25.71797321	7.899810773	0	4.558444032	10.61312427	10.23154258
1700030C10Rik	0.648182488	18.0416156	8.356187329	0.913048112	13.02627399	6.265483381	0.771622582	1.717873912	14.8960072	12.84367695	3.215502304	1.926639042	15.2756407	5.5453639	4.027534957	3.094363068	5.963102367	30.38601972
1700030J22Rik	0	0.581617587	1.616298323	0.235475514	0	1.706557587	0	0.996841005	1.234827928	1.016301478	3.138068924	0	1.552832882	0	0	0	0.395456594	0
1700030K09Rik	0	4.271905686	0	0	0.740248747	0.726634434	0	0	1.511608477	0.414700136	0.62293808	0	0	0	0	2.747570009	0	0
1700030L20Rik	4.53793547	14.03440284	1.21878739	0.887814408	1.823942852	2.237997172	0.675267681	3.006715355	0	9.196238653	5.116313773	1.311375068	1.366085679	3.981864319	3.289630583	0.902653457	2.385586885	0
1700034H15Rik	0.768546499	7.922906236	2.201752553	3.007211801	6.67231914	4.39672553	3.202180645	3.734268784	8.410531345	9.229502342	5.256771951	0.296126649	1.674611481	0.674370075	6.632536934	1.324905722	2.020119568	1.200951353
1700037H04Rik	25.2127841	16.70896874	7.738956194	2.959619827	3.619225845	8.704023649	4.823729241	19.09179452	5.912447659	27.57471864	14.21312791	0	8.98405374	0	0	6.985381254	3.076897669	0
1700042G15Rik	0	0	0	0.775416229	0.796514945	2.280441946	0	0.72946173	0	7.932825461	0.868891218	0	0	0	0	0	0	0
1700048O20Rik	3.628138342	1.870114556	3.248121157	1.041068085	1.458265998	1.312159056	3.599235202	0.801302658	3.970426161	2.178522144	1.7725757	0.199706933	0.624116138	0	14.65342751	6.134306873	2.860961544	2.834713095
1700049G17Rik	5.199534437	0	3.491194978	6.646043023	4.528031838	2.692495434	0	1.435447181	2.845035884	0.585388075	2.393746454	0	1.751590775	0	0	1.465193111	0	2.031232959
1700052N19Rik	0	2.263736922	1.048476489	3.207762624	0.156906874	0	0	0	0	1.75803883	1.21037685	0	0	3.104310979	0	0	0	0
1700061G19Rik	0	1.40772778	1.956017238	7.05297124	9.293936093	4.220288353	0	11.46042319	5.977472542	2.049851793	12.82986015	12.62766054	11.90167866	25.36208335	0	5.975712956	6.580405778	23.47211723
1700063D05Rik	0	7.311646757	1.693237771	2.960216164	7.348508825	4.974729961	2.814409021	0	0	7.097864812	1.776998965	0	0.542250411	3.457454473	3.590887302	1.254039006	0.41428122	0
1700066M21Rik	1.48648701	0	1.596947894	0	1.852148154	2.052675823	1.548377339	0.49245338	1.220044487	0.669422834	2.765310595	0	7.73513809	0	0	0	8.40052648	1.742118324
1700080O16Rik	0	3.565307806	23.94405902	54.37038936	0	5.912837782	28.36217142	20.36873882	2.523159403	12.45982816	10.0514101	12.05658499	13.4850293	19.8939172	0	0	0	0
1700092M07Rik	2.940701604	4.547331185	3.15922521	0	8.51013336	2.320449699	0	0	0	5.297248581	5.967910736	0	8.093800865	7.741058595	0	4.094602358	0	0
1700095A21Rik	1.045338269	0	4.492069522	1.145272281	5.546048869	2.062139583	2.488825689	2.770453344	3.431874437	3.766051377	3.299998453	0	1.978021961	0.917244236	4.11368678	7.693453048	0.549532994	0
1700096K18Rik	0	7.155220912	0	0.965628369	3.347671508	0.9128063	0	0	0	5.556810106	2.782370775	6.749515474	0.132662368	0	5.750285934	0.306802503	0.20270903	0
1700101E01Rik	0	0	3.708125342	0	0.693661664	0.851130198	0	0	0	4.663214967	2.918669343	0	1.335945896	4.732307378	7.685179444	0.514930688	0	0
1700113A16Rik	0	0	2.442534241	0	7.676146062	3.812335975	0.676641572	0	0	4.095532982	3.588706354	6.94565679	0	3.491220051	0	0	12.549813	0
1700123I01Rik	2.078363192	8.570295599	5.954150426	0	10.02433564	9.703306398	7.010140924	5.508272705	13.64664764	11.23161199	32.80562628	20.36342138	47.07375658	36.92960067	13.91850828	26.59623921	29.31790887	16.23853007
1700123O20Rik	18.9300855	20.12476903	6.355243937	17.12884918	16.26340997	12.36999919	15.49290697	21.1655889	11.65274888	10.12338135	11.07157841	5.958857369	12.31316053	16.22111714	0	20.12155042	14.77179015	0
1700125H20Rik	0	0	0	6.816593494	0	0	3.410967515	0	3.762742331	0	1.550636636	0	0	2.262770974	0	4.331579345	0	0
1700128F08Rik	7.047086726	1.556744009	5.407682791	1.102969431	6.150466753	1.787373417	9.587584365	4.002181925	0	0.906736244	2.724091387	1.994910336	2.597672575	1.766728088	1.876613585	8.410534574	2.116939713	14.1582427
1810009A15Rik	492.4121157	424.2696965	316.230738	404.4016281	145.7715888	193.9179061	313.6426227	397.2897667	363.8847157	319.1269267	261.4020377	304.2481544	230.6733247	236.3645181	403.812661	192.2798636	618.972519	247.0210475
1810013L24Rik	12.61744331	27.14558037	10.90297164	59.80238527	21.91708649	31.00483048	14.53052067	24.71646962	12.60712637	19.02276552	19.60657086	73.60332839	39.82332802	40.07337402	88.73916343	51.8867873	35.76038072	32.14623098
1810014B01Rik	0.689794203	0	2.223158481	1.079626163	2.550705266	0.816454524	0.410579423	2.742235763	11.3230672	3.106411205	0.62216902	0.113906917	0.949272941	3.480290747	3.00026493	0.960462282	0.906559831	9.701018148
1810019D21Rik	53.63296607	81.88511319	18.9630286	32.62097665	19.10098111	11.11588449	4.445033608	17.99279845	26.74610284	17.7325879	20.20726357	7.735428444	31.29832473	29.78536114	16.73294778	36.32618062	35.15425327	28.64334642
1810022K09Rik	685.5281445	383.5180565	242.4961395	325.3740174	345.875966	237.484428	218.9483886	321.2724094	256.1667472	268.561256	226.2150703	323.9614989	331.2453602	375.3416025	451.3544262	210.6378983	487.1007011	143.7008673
1810024B03Rik	5.296050282	0	1.896533301	0.27630243	0.283820491	0.696501489	0	0	5.795693164	1.590011422	0.796140453	0	0	1.936283745	3.290744202	0.175575366	0	0
1810026B05Rik	0	1.679939578	0.233425156	1.598342135	0.523989027	0.642940078	4.009196699	1.727560543	1.426666837	1.369889289	1.714805729	2.942133948	0	0.667289386	2.610157984	0.82117244	0	1.018578612
1810026J23Rik	3.172618134	13.08254271	21.20766955	18.20719705	23.34992076	26.35577016	21.61176105	8.875501241	9.258482707	18.73254151	21.06444483	4.016566315	20.49621023	0.695962681	26.64949155	25.24297443	25.85154021	18.17793306
1810030O07Rik	0	0.671845198	2.80055734	1.768034758	3.981542435	1.714173572	4.654936227	2.878707839	1.426389492	5.087171071	10.28683421	0.071745414	0.373693178	12.48541656	1.259831308	11.75344645	2.398224374	0
1810032O08Rik	0	4.326454307	2.404618086	4.904541085	2.429031555	8.720568348	0.999206808	0	3.67418505	12.09587057	3.532997843	3.788531522	0	11.6613343	6.026714301	4.229634313	1.323749858	0
1810034E14Rik	0	5.753559989	1.998621942	0	2.193387436	0.611661269	0	0	2.035889996	0.558533424	0.27966532	0	2.560192282	0	0	0	0	0
1810037I17Rik	14.88428886	14.16381844	3.690078626	42.29125763	12.33310538	9.260401206	6.133450807	18.20664728	22.55332237	31.96802679	15.49047869	16.44881243	10.83250756	21.59988003	25.84830119	1.821954211	23.47395496	0
1810043H04Rik	212.6353467	143.4158297	138.5198746	111.1708981	83.64660995	71.39845227	78.09320362	101.9179122	51.98525589	69.27171221	88.75354428	121.0272526	52.14275557	59.54660457	90.42441034	69.29327068	107.025444	31.81305547
1810044D09Rik	29.89108215	78.22158169	14.82105654	16.91414321	9.981020607	18.14343386	1.368598077	63.98550115	45.2922688	14.49658562	6.740164389	14.0485198	13.44803333	29.25461787	29.52641677	24.69760153	48.95423086	10.77890905
1810055G02Rik	2.968827337	10.09981103	5.740993739	11.52366119	9.737063674	6.325136533	15.55053203	7.081437731	3.898696889	16.57853036	5.22165764	19.11965738	10.92899652	33.34441109	8.485643789	6.259700281	10.76889032	0
1810058I24Rik	54.92923426	26.54356145	20.28504052	27.00060454	16.28240228	18.7935039	13.28233894	27.29598732	25.35949612	15.46047973	16.83726992	20.69221512	16.68336257	11.10820108	24.8869902	17.58423703	20.07800252	8.046927496
1810064F22Rik	1.456298796	12.76097283	7.82258197	3.874835515	5.150935048	1.34065947	0.288939472	0.643269901	11.15582815	0.874437211	2.627055986	1.042085004	1.837102933	1.490820726	11.26076846	2.027735312	2.169127519	2.27565152
2010002M12Rik	0.332085174	2.054069361	0.356762431	0.623712707	3.203418204	0.524083736	0.790655174	0.440061608	0	2.093711921	0.599057244	0.438702422	0.457005101	0.437088004	2.407344817	1.453231828	0.349153504	0
2010012O05Rik	52.89478896	24.61744548	26.48174073	11.25272122	7.9261046	18.53907078	19.86857226	29.26227685	20.23165683	18.03888418	15.74865333	22.47253658	17.22629378	13.85635259	16.4864873	26.25255162	15.92812291	93.88944954
2010107E04Rik	1754.269499	908.9678992	733.4595733	601.8457385	590.6576578	703.0008978	592.2467568	1066.992666	723.6835935	752.7898189	799.4275313	1041.958065	651.4678141	584.290861	836.3869662	669.271169	1140.298276	315.7482071
2010107G23Rik	0	3.993034893	9.709461649	16.1663259	13.49254086	6.622196137	9.222026556	5.132780978	10.59697797	6.977311822	4.367044251	6.609364977	51.41620899	0	0.133708266	16.17971123	7.975212653	0
2010109I03Rik	4.145345133	22.89329425	22.26692914	12.88342445	8.663970193	8.177525436	1.057454158	6.277932431	33.05111507	13.33435652	9.347372406	2.835901948	1.935520742	9.742985777	13.61464758	6.832086909	5.603663946	2.77612602
2010111I01Rik	0	3.939551667	0	1.594979204	2.815961927	1.507730212	1.326865391	0	1.045504067	2.007791568	1.292565449	0	0	0.978019182	5.408611777	0	2.762307698	0
2010300C02Rik	0	0.7924723	4.679797031	0	0.082393199	1.213167923	2.897875405	4.41423872	0	3.23106655	2.600098693	2.623437463	2.027626105	3.822306697	1.592173874	0	5.388220778	0
2010308F09Rik	0	4.930059487	0	0	0	0.628937864	1.897685208	8.449685091	10.46697225	2.87154702	1.797278554	0	0	0	0	0	0	0
2010315B03Rik	3.240207639	4.384161273	6.526851647	7.480294934	5.534962497	5.113568021	3.375114648	5.367188518	7.978268444	3.283180527	4.749140838	4.213606373	3.553322326	5.952861901	5.452767515	3.544853282	3.513206854	0
2010320M18Rik	0	16.23610866	9.668501312	0	11.57530444	1.479481352	15.17766082	9.938304109	0	9.456833037	8.117426683	0	2.322214678	0	23.92157541	3.580323443	11.4336056	7.03161047
2200002D01Rik	4.408152306	6.816512229	18.94288883	3.449693064	6.378403702	10.86995668	18.36674816	26.28652034	21.70812883	9.925810951	7.951982747	21.10985	7.203802052	7.735969141	45.65069208	11.39889301	12.16614021	0
2210015D19Rik	0	7.512981957	13.04897369	0	0.683482933	3.833786459	0	3.219146331	13.95691109	4.375987958	2.191116985	15.84544269	1.671545831	17.98533994	0	0	11.17433531	17.08222761
2210016F16Rik	69.29718521	43.47519325	16.59097009	66.25354344	44.18246259	29.05906887	37.00452532	17.31631513	50.70101954	42.44181092	38.93076033	41.84928841	44.27641774	41.34782302	18.94568428	35.60235401	59.01569575	31.55752892
2210016L21Rik	167.6199914	65.45400947	62.75370075	126.6695932	77.1714366	43.75454016	39.80754133	45.99477258	50.02736963	37.36165476	48.48676298	62.48829933	62.03714413	128.8808063	83.111235	87.73261633	120.8279425	71.43477
2210018M11Rik	7.238199264	8.17930522	5.383433092	9.716635463	10.33908413	6.205786626	5.136845696	0.737821282	4.569847749	6.26854279	1.820472134	13.46962067	9.098972696	4.274874577	0.115320881	15.22834175	0	5.220278824
2210404O09Rik	0	0.778021544	0	0.393740293	0.647126055	0	0	0	0	2.265819969	0.113452703	0.166167678	0.346200397	0.331112367	0.729465584	0.700562313	0.528996641	0
2210408I21Rik	2.380965787	0	0	6.086699203	2.169170672	0.195705541	1.417198861	0	0.651398042	0.357413789	0	0	0	2.916183591	0	0	0	0.930140234
2210409E12Rik	518.7179222	77.91978635	194.2462609	282.0659377	76.24758448	185.3589992	234.6510411	168.8984468	194.6246033	80.09102629	185.1406673	441.0101185	186.1091147	209.3713372	310.6450888	232.3015783	344.367693	291.8025088
