Symbol	E4.5_WT_male_XK164	E4.5_WT_male_XK165	E4.5_WT_male_XK166	E4.5_WT_male_XK167	E4.5_WT_male_XK169	E4.5_WT_male_XK173	E4.5_WT_male_XK73	E4.5_WT_male_XK75	E4.5_WT_male_XK76	E4.5_WT_male_XK82	E4.5_WT_male_XK83	E4.5_WT_male_XK84	E4.5_Xist_female_XK162	E4.5_Xist_female_XK170	E4.5_Xist_female_XK171	E4.5_Xist_female_XK172	E4.5_Xist_female_XK74	E4.5_Xist_female_XK77	E4.5_Xist_female_XK78	E4.5_Xist_female_XK79	E4.5_Xist_female_XK80	E4.5_Xist_female_XK81
1700019G17Rik	0.114796201	1.071518065	1.017872234	1.801997847	0.7701203	0	0	1.450522765	1.840248257	0	1.513255985	0.761470455	0.242045305	0	0.945632396	0.901193233	0.395133975	0	1.341680561	1.277653074	1.250642045	1.508573073
1700020I14Rik	80.16761969	33.89988472	28.80011599	16.07073631	24.98921881	28.26603802	33.87918363	20.46401388	17.70154876	10.76433234	84.51938706	44.22471394	22.19608057	54.09942361	40.3565464	31.08587225	27.38502928	15.23491721	30.28554424	19.82768003	27.78944387	19.47393508
1700021F05Rik	82.76128594	72.94758957	41.00892455	50.62629243	62.78338567	29.25440505	90.31590832	45.30074846	28.70213485	49.51433052	61.94647947	51.8862689	49.47858866	50.20478222	54.65467417	34.87035749	50.12239276	65.69845979	21.2228565	46.12039882	27.9622253	29.73669674
1700021K19Rik	0.035214481	5.357730706	2.61355547	2.783614745	2.598633518	1.638932918	1.7858151	3.361899541	2.052756806	3.120709489	1.127345566	2.413722149	1.385980804	2.526613738	5.994963679	2.100996329	2.181778503	1.104196461	3.018174412	2.699951133	1.342749035	1.943611327
1700024P16Rik	2.579876239	6.496214941	2.049112216	2.152678186	11.67238137	0	0.760651314	0.673868144	3.497410591	7.089264796	1.638269184	2.299411986	0.421675442	0	1.647418683	0.188399963	0.206512942	0	0.467477559	0	0	1.734570403
1700025G04Rik	3.510711225	1.53043407	2.571886148	1.016530216	1.380331812	0.897766924	2.690119717	1.570746988	2.64245613	1.709447488	1.307714874	0.540244491	1.464183022	0.443929829	2.383470623	1.060015374	2.157863341	1.209703032	1.202386406	0.906463317	2.311649111	2.585608254
1700025N23Rik	3.128896465	1.362918709	2.329060857	2.689654451	0.466454978	3.236074863	5.289140842	5.857124445	1.823926765	0	1.571255344	1.537386148	2.345674829	1.129539991	0.572761085	1.965040854	1.794968364	6.540711407	1.625287834	3.611360858	4.545016213	1.644712594
1700026D11Rik	0	3.732222662	0.875399497	0.74721061	2.483721314	0	5.632591546	4.989965761	6.474545227	0	0.418321228	0.327443284	0.312248922	0	3.049766818	2.09264091	0.38230495	0	5.192478014	0	1.815055176	1.751512113
1700028K03Rik	0.115678435	0.053987646	0.265920874	0.162129159	0	0.897306955	1.46658624	1.461670343	0.842904981	0	0.925823449	0.895209604	0.16260365	0	0.952899783	0.363247638	0.199085332	1.813624866	0.450663887	0.715262284	0.787658435	1.520166779
1700029F12Rik	0.495134142	1.38648798	2.27642264	1.202856144	2.214433634	7.681419806	10.46229175	0	0.481047352	0	0.155402667	3.649269225	1.623968297	9.607530284	0.453184648	1.554795483	0.568091742	0	0	0.40820144	9.439879069	2.168904619
1700029I15Rik	0	2.894865014	2.036987291	2.318268815	5.779428442	8.019064633	0	5.805633241	0	0	0	0.761935333	0	0	4.257943673	2.434707212	7.116753688	0	4.027498972	0	2.815662517	5.434178607
1700029P11Rik	0	8.918295081	11.70604611	15.03931615	14.38084343	11.40210752	4.658989296	13.93011804	13.92406592	5.42771836	13.66754313	14.89643102	16.2714011	32.08764997	4.036175773	31.73361875	15.81114711	0	21.47475038	14.99661932	12.01056042	23.66308829
1700030C10Rik	13.53290069	13.85415677	14.76618862	34.32422891	7.077453205	22.01056487	15.22008568	6.741808439	6.679973083	6.447776799	17.46927889	29.84187792	28.84064348	28.07142745	13.7848045	26.90229075	15.96522325	23.95478644	18.70777945	8.097731589	11.59255948	9.465683501
1700030J22Rik	0	0.532008178	0.457539387	0.319532508	0	0	0	1.066938993	0	0	0.834812036	0.700129067	0.89018794	0	0	0.596589314	1.961838193	0	0	0.469891931	0.344968413	0.166445726
1700030K09Rik	12.32633081	1.881403824	1.171106826	1.56461653	0.17335904	4.810777958	4.914302678	0.43536269	1.807643941	4.580126576	0.218985216	2.456903961	2.942241697	0	2.98015121	3.894996513	0.266841609	2.430870082	1.208083746	3.067817994	1.478019797	0.611261129
1700034H15Rik	1.63909606	0.724711737	1.218207439	1.330001768	0.675194116	2.676698328	9.296616881	2.422341242	1.885811488	3.82254718	0.771669363	1.208057029	1.091367966	0.759111986	0.710633424	1.828542143	1.187757149	0	3.360865717	1.600239484	1.879690337	1.473781131
1700034O15Rik	0	1.659045446	1.334167115	1.423498395	7.381445448	0	3.219166693	0	0.740072848	7.500652632	0.478162051	13.09994081	1.784580546	0	13.24693587	1.195996525	4.806930123	0	1.978420548	3.14001108	4.840963625	2.002065802
1700037C18Rik	0	1.280742467	0.112650163	2.019239611	0	0	2.17447814	3.371183568	1.999613421	0	0.807470556	1.516925038	1.20544593	0	0	0.807870032	2.656618628	0	2.672761396	0	0.467138175	0.450784187
1700037H04Rik	9.248355697	5.519138293	6.373040013	15.97942905	2.712279713	14.11251987	7.688646317	4.257152497	3.093277893	8.957266076	4.71091726	3.910981523	26.63928656	20.11418555	9.158638983	20.23363985	6.00135595	28.52403718	9.450505244	18.74897832	18.58201129	4.781726864
1700042G15Rik	0	2.422369804	1.704513503	2.130409101	0	1.437901244	9.400601063	0.780757574	1.35072409	0	0	6.284652814	2.86622976	3.387785338	0	0.58209092	0	0	0.72217223	0.229236277	0.252438708	0.24360111
1700048O20Rik	1.629012763	0.570200684	2.340477822	1.484043295	0.227674454	3.159025461	5.163208917	2.001184185	2.670749906	0	2.10903619	1.500781716	1.431140893	0.964815409	2.236495667	1.918254167	2.45312343	6.384980183	1.586590504	1.762688038	1.663800578	2.140737027
1700052K11Rik	0.233921642	0.655033691	0.92183594	0.568278493	0	1.20967241	1.977126001	0.437888624	0.909065861	0	0.220255748	3.160784368	1.644062393	0.422231692	1.712823867	0.244849682	1.744533695	0	1.822639402	1.349957519	1.698965862	1.229615217
1700052N19Rik	9.612953699	9.509652638	10.52295181	10.68630813	7.532942364	7.647876488	5.208302445	8.766759715	12.69208776	0	13.30626851	11.08166733	8.430857249	8.342072096	12.18255325	9.804037893	9.332581365	0	12.16339864	9.754053631	8.727324255	7.773960313
1700061G19Rik	0	1.931482237	9.161326142	6.487847615	0.342763658	1.188977404	1.943301442	0	0.223378404	0	4.257589963	4.744793225	10.01880238	1.348776572	1.473080853	12.87535323	5.012165836	2.403145291	4.18006818	3.032828624	2.922325089	3.625737091
1700063D05Rik	12.47263157	2.229331872	4.706043982	5.355887616	1.186861468	8.233961992	3.364460536	5.961214385	1.54695058	0	3.748075599	4.107358028	1.492100632	2.874034054	4.372049357	5.416565364	6.394036811	0	2.067714564	2.62538585	3.613896883	3.487378372
1700066M21Rik	10.82478168	1.693725479	0.452061696	1.82408514	0.699604906	2.912144522	0	2.284025316	5.10642882	7.393393549	4.124088061	0.830096492	3.166309987	12.19767961	4.467041228	2.259546478	1.399920122	9.80997953	0.4875323	1.857065415	3.919641934	2.960154492
1700086O06Rik	0.097437066	1.000434966	1.151936883	0.382376291	1.089441716	0	0	2.188762817	0.283994811	0	2.201873102	2.657106438	1.232663663	0.131906405	1.872819002	0.764917508	0.167691503	15.27633788	1.518394227	0	1.857666518	0.76827072
1700095A21Rik	2.288084811	2.792863222	4.161627918	4.736294755	0.393585024	5.461065531	6.694300804	3.45948398	0	0	3.314481572	3.632200614	4.453271343	3.574058952	2.416419546	6.632242659	6.058228116	5.518916454	2.742768243	0.435313042	2.87624272	2.775548662
