Symbol	X4cell_WT_male_XK10	X4cell_WT_male_XK102	X4cell_WT_male_XK103	X4cell_WT_male_XK105	X4cell_WT_male_XK107	X4cell_WT_male_XK4	X4cell_WT_male_XK5	X4cell_WT_male_XK8	X4cell_WT_male_XK9	X4cell_Xist_female_XK100	X4cell_Xist_female_XK101	X4cell_Xist_female_XK104	X4cell_Xist_female_XK106	X4cell_Xist_female_XK108	X4cell_Xist_female_XK11	X4cell_Xist_female_XK3	X4cell_Xist_female_XK97	X4cell_Xist_female_XK98	X4cell_Xist_female_XK99
1110057K04Rik	9.450086507	4.181581868	8.103957833	10.58579369	8.057936958	16.68026536	19.20481557	13.79887761	12.04413743	9.149451194	20.66706476	18.15147984	14.76551903	18.99688308	46.12295408	4.490800292	7.792218266	14.85173362	53.48706092
1110058L19Rik	14.92379441	9.152427828	10.21251113	1.528552106	0	4.872515089	10.15692988	4.986841531	11.13044425	0	2.984252885	0	0	8.127657511	0	0	0	0	0
1110059E24Rik	0	18.04990941	23.85064748	24.98882976	34.78229931	37.44869679	75.65699859	49.4141817	187.5813542	26.61542035	25.09029421	21.76426271	39.61952388	26.57425274	5.530304406	76.24632526	26.42774947	16.72380088	42.07595584
1110059G10Rik	5.374881512	12.31064931	10.13350925	5.763564663	15.83365604	8.263150876	0.106087979	7.422396537	8.178782577	18.96857362	3.553400787	15.16517766	13.17387736	7.097009599	7.04904019	4.667083021	5.103841692	11.25037602	0
1190002N15Rik	1.493358968	6.010223	1.14966159	8.259599023	0.89817583	3.066712776	0	0	6.044863163	0.310386446	2.519616043	5.665099834	0.934122401	0.274488484	3.998620097	13.78224715	0	8.061295411	10.14083796
1190005I06Rik	55.75300063	85.01810191	30.93435477	12.50122383	48.33507533	20.12613057	37.89075247	8.739590223	7.654178392	10.02201466	8.13554499	33.87396964	50.26952977	0	75.31460878	7.542586649	60.76352998	24.40216722	0
1190007I07Rik	9.857566715	1.813627261	6.071073904	0	0	2.76492136	24.31102475	2.223411298	0	13.11258246	13.30545905	4.985994729	9.865731244	5.79801878	10.55785387	5.242669129	4.586634205	10.64241874	2.059662174
1200014J11Rik	35.02510791	45.22696906	23.48628368	27.25707109	26.53506411	43.58428233	112.0071274	42.0806417	65.42479801	27.89971098	55.43235487	68.05412029	54.80264035	17.25381146	93.62618787	39.75551708	13.6489592	63.02296764	22.06499961
1300002E11Rik	3.818033039	0.171330284	0.573524031	2.060205616	1.792268012	1.567184524	0.63044503	0.240047869	7.450208748	0.309680844	0	1.25604919	1.242665146	0.273864489	0	0.116533186	6.06608151	0.502685604	0
1500011B03Rik	1.272017234	2.730348574	11.75114132	2.931409587	24.48161837	5.776511955	0.205038353	9.563609262	1.615344146	6.345162818	8.01235004	10.7231859	4.950830822	4.364351112	29.51827803	9.948710825	47.34862406	14.87735478	12.40298004
1500012F01Rik	0	89.15280458	9.230006668	40.06339211	14.42192898	14.01193209	1.44943779	21.56958587	7.612692331	0	40.45724948	23.58325962	29.99823972	30.85205928	149.812799	30.6319638	9.29756744	45.84315607	0
1600002H07Rik	34.40718573	13.92676165	28.60742151	26.64231369	21.52185202	26.88430302	7.320912104	37.14035084	57.48874244	48.62914097	56.65902806	41.76788492	19.51355397	5.565340472	23.95346967	43.81041473	17.61027823	49.21932438	59.66965301
1600002K03Rik	124.5899523	222.9730745	132.5377916	78.30601032	321.5359097	87.59164082	106.2564809	16.78804826	32.6709291	64.0321039	131.4767389	143.2228901	120.9145638	26.64772994	60.65495155	142.800321	242.4222884	122.2815548	141.9933001
1600010M07Rik	37.10669756	36.33731763	81.09220144	18.2061474	69.11288044	24.46108999	78.14257955	80.22430968	55.37386247	41.79635659	61.39518963	80.72562895	69.88226298	3.520225688	19.23037669	53.55012039	22.27793757	58.15321669	87.53564239
1600012H06Rik	17.52400666	21.90435305	55.19919082	71.02775647	60.50302717	52.74389898	0	61.03478378	42.29933382	25.35686075	44.05671159	33.37987182	10.71054713	15.73627739	18.62564786	54.90725752	39.83515106	37.54966613	12.8571945
1600014C10Rik	0	0.196607709	0.658139606	5.319361327	0	0.256914432	0	0	0	6.396659792	2.884777789	0.720680977	1.069502459	6.599657899	0	0	2.983306422	2.884249717	0
1600015I10Rik	0.742095401	10.37651797	5.484496716	0	0	6.066035199	0	0	0	0	1.602654327	4.003783207	2.475700138	2.618911865	0	9.750858042	0	5.608263338	0
1600020E01Rik	56.30248384	3.984120973	0	2.994256254	20.83873439	39.48031616	0	16.74624695	32.11559663	18.0033254	20.46031824	16.4296214	28.89698275	12.73691057	34.78975635	48.43887542	25.18944483	32.1460431	45.24602955
1600025M17Rik	307.3398278	202.1249453	311.322894	7.455533853	58.37321894	147.9958638	316.1470251	52.12154559	158.464881	457.2383873	123.7237421	229.5441376	130.4128228	7.928552189	505.3100809	482.0188589	313.6016806	152.8072336	343.6134028
1600029O15Rik	1.834194006	2.624696611	3.765475357	1.690786492	1.961191006	16.49563918	20.69595252	8.274187317	2.329256609	0.677737126	8.802638692	7.559381727	8.838618999	2.99676482	24.01050901	0.510066206	0	12.10141258	2.554937489
1700001C19Rik	2.865864482	6.02595532	5.042935348	2.830494876	0	3.116924119	5.345455747	5.540627376	1.11409672	5.445980944	2.210434952	2.761076481	2.048741524	1.204030552	2.192469376	0.256165954	0	9.945136448	2.566286462
1700001L05Rik	0.982636669	4.97168919	6.430099598	3.396782457	2.364014346	8.46537975	2.31649278	6.609543934	0	2.655063132	3.979003847	5.591490341	5.122138216	1.625531502	3.946664014	0	0	3.31522956	0
1700001O22Rik	9.268962794	4.263334982	18.55283553	11.53475586	0	10.95640742	0	8.661262076	10.59365231	3.853005846	6.255489234	13.28345045	20.87243958	0.681476752	12.40929399	4.784635811	0	7.505212965	0
1700001P01Rik	0	10.87013775	3.638752629	16.33885023	5.685568156	26.04140676	53.14140666	27.0331793	0	0	19.1393911	1.992267125	17.73934368	8.687736474	18.98383339	0	0	0	0
1700007J10Rik	44.79824873	77.53705459	40.87455698	11.92986076	70.25335701	103.9798149	374.2132655	83.18766004	26.54849364	48.55550337	141.5384674	99.58825116	157.2004965	11.71084981	231.0183866	33.63613461	33.96834045	184.503715	44.37450387
1700007L15Rik	0	14.52844114	6.079201179	0	14.2481708	0	0	6.679163256	0	14.77140313	2.664654182	13.31378512	3.29297946	5.805780519	26.42996885	0	0	2.664166405	28.87387187
1700007P06Rik	0	1.648351387	5.517816866	1.238814404	8.621614895	5.38490152	0	7.217113568	2.925620694	0	7.255759445	1.510540323	2.988889012	1.317411315	4.797858258	3.924039105	0	9.672574992	0
1700008J07Rik	0.303185029	3.346858202	9.336273192	11.73817398	14.58797093	2.429700631	0	3.126149719	7.260319119	9.074208997	3.273843214	6.134085621	16.1832609	1.783272224	8.118086649	1.422763826	2.82138354	3.273243922	0
1700009P17Rik	0	4.591949874	10.97960174	0.986019588	0	3.428838647	0.34483723	3.446625416	0	2.371424488	3.850090279	4.809186405	1.189485327	0	3.818798207	0	29.86191631	9.623463756	26.81943086
1700010D01Rik	0	12.23380633	9.100527616	0	21.32942603	1.184174736	0	1.428381034	1.608407369	12.28483427	19.94485646	4.982664071	9.859140909	0	23.73930268	6.009632749	0	7.976482183	3.087429471
1700016D06Rik	12.55181219	20.40797358	5.393305559	5.650680745	14.04510898	14.26963373	42.06468151	29.533823	4.607138368	8.736530594	37.82416483	26.57618093	15.58103346	10.30146805	18.75837219	7.123056394	10.86556575	29.93864908	14.63778913
1700017B05Rik	35.94076017	33.68112403	33.133741	43.18701848	43.86207261	33.41345581	5.419969036	21.3318218	27.73459561	97.40623679	23.39862325	47.62059498	32.90443319	7.031889822	15.20553498	13.8387764	15.29745693	61.71265558	1.561235616
1700018B24Rik	5.688722774	6.038248626	10.10644647	1.512676935	10.52758021	5.873963496	13.86041015	4.864548703	2.619747195	1.819030356	7.678473818	7.008996745	3.649637473	0	24.60575201	1.300555309	2.036084502	3.543262264	11.42898595
1700019G17Rik	0	1.034619579	0	0.622052626	1.082304615	0.901316647	0	2.319339877	0	0	1.821687011	0.379247921	1.125620343	0	1.204587354	0	0	0	0
1700019L03Rik	0.660309842	14.1733617	2.711142257	26.17337489	10.59043143	21.51945958	0	13.75879148	3.234339177	9.515429242	13.07191846	20.03923374	9.545708519	9.709518017	54.2200949	1.928050259	0	19.01021903	5.518664977
1700019M22Rik	16.97836162	11.15619401	0	0	0	0.971880252	0	0	2.970130549	4.032981776	0	8.178780828	12.13744568	0	12.98893864	1.138211061	5.642767081	3.273243922	7.601779471
1700020I14Rik	9.044269732	29.33884565	24.9192304	2.632780515	32.06528303	24.22359767	89.54325363	27.7619855	23.31619591	14.24691819	33.41053165	17.65645132	21.43838048	22.39854382	68.82711966	43.33578794	19.93364846	11.56306697	10.94054252
1700021F05Rik	190.9052814	262.8588144	139.0668042	96.50474568	185.6863506	280.6461158	292.2376487	198.6950127	161.7703176	155.6425573	124.1289686	152.2819771	130.1148594	216.1214729	303.4030923	307.741175	317.1008886	132.970978	368.8584307
1700021K19Rik	12.14419748	4.316317472	12.32395051	13.7389456	5.312063678	4.755537586	0	5.291577402	3.417376484	2.753568692	9.686115203	5.584164787	7.136021464	7.508233566	4.434180063	27.32899505	0	8.939392722	4.036829924
1700025G04Rik	0.037797108	0.486782466	0.931138667	0	0.727454281	0.060580602	0.146221733	0.07307383	1.110830043	1.885421048	0	0	0.882662989	0.555787119	2.428934189	0.023649522	0.351732867	0.408064856	0
1700025N23Rik	2.452370256	2.255975374	5.034549091	1.130315138	15.73301343	5.24082655	1.581204862	4.214410265	1.557141613	4.077693326	0	4.134727336	4.090669052	2.404056567	4.377646725	0.511479915	0	2.206355105	0
1700028D13Rik	3.089438507	2.842024842	0	1.423944489	4.955020292	3.713777054	7.967859136	2.322781635	1.120943124	1.712327458	8.340069864	1.736277494	5.15332889	0	0	0.966525594	0	2.779514392	0
1700028E10Rik	0	0	5.012321502	0	1.305296	0.65221103	0	0.961538324	0	0.451076696	1.464677465	0	0	0	1.452773122	0	15.1470304	2.196614023	0
1700029P11Rik	6.480579993	10.59838431	24.39101371	0	6.92928619	14.13782055	0	6.264510961	0	0	1.943844409	14.56845335	1.201101395	5.294089414	0	0	0	13.60442005	0
1700030C10Rik	11.12006714	27.54104507	9.219299003	5.913829782	12.34731275	17.13756362	2.895512615	19.01801523	20.48387018	34.13530747	10.39122394	14.42198011	8.560982564	11.32026173	18.32314314	12.17612946	5.970073756	11.54369086	0.893635328
1700030J22Rik	0	5.707645537	6.113986241	4.117984198	3.582424634	1.79001304	0	1.519407672	0	0	5.359802556	2.510618686	2.069888638	2.55456297	5.316240116	4.736224821	9.238108072	6.698526774	0
1700030K09Rik	0	5.310109319	1.871101475	7.141430706	1.461802443	0.365205929	0	5.384139195	1.074756758	0	3.280587844	2.048907599	0.50676878	2.233682554	1.626962236	11.40555954	11.30878413	4.099984146	6.347866939
1700030L20Rik	6.737171485	65.41946862	18.44127221	6.210421854	54.02732786	12.5979361	6.153856688	4.824109211	2.240748236	31.11742284	16.16647045	42.91161352	38.70838851	4.402962485	44.09645767	4.917996218	10.44914432	40.40877776	14.07679772
1700034H15Rik	7.691252306	26.59071936	14.05449433	14.95892533	25.21357873	10.90502225	13.7327751	19.22703913	9.659846871	29.23125902	18.25306441	19.66507412	14.66213826	12.92524865	13.57853283	21.57643196	25.16865574	30.11204312	8.476628919
1700037H04Rik	6.238624414	15.30403278	31.10385809	5.750853973	20.01173385	13.33222354	0	0.382896662	17.30009965	13.83108013	27.26707773	53.09287538	27.75018469	6.989392502	22.27273281	7.063451075	60.82002617	46.50591203	0
1700042B14Rik	0.349122154	0	2.150172008	5.792865082	0	1.119134836	0	2.699856576	2.470108571	1.161009905	1.884940032	4.708995022	0	0	0	0	3.248865895	0	4.37678212
1700048O20Rik	7.181941464	5.138610573	0	1.103402873	1.919802234	5.755550586	10.80489989	5.014019355	4.885929041	8.624645011	9.69397731	6.054422171	5.324362894	6.453747095	4.273417041	1.622730921	3.712989594	6.461468522	0
1700049G17Rik	0.428855752	6.706693753	0.440205824	4.743905022	0.687823678	10.76868945	14.9316259	8.475393112	3.112040625	4.99157729	5.402666429	4.338337407	1.907604232	2.312238199	2.296609546	11.44889978	0.66514199	9.260018478	1.493434767
1700052K11Rik	0.763930781	3.092110465	0.940978715	0.845042896	0	0.36732482	0.295533938	0.689229859	0.083153261	1.016184385	1.649810754	1.030397585	0	0	0	10.03776684	0	1.649508748	0
1700052N19Rik	0	3.258193254	1.983040734	11.13039579	1.549255253	2.967417784	0	0	0	4.283061869	17.38425043	1.085742084	4.296691104	0	0	0	0	1.738106816	0
1700061G19Rik	0	18.51155679	26.82153465	70.18451283	14.45130154	25.99492664	9.150055751	44.90449845	11.44229519	13.48379406	20.26982357	16.71069842	14.52867903	31.79817713	9.650437506	38.3366176	19.56465719	26.75126927	6.275467642
1700063D05Rik	3.639930841	16.26381118	6.405025784	8.628019078	5.003941508	9.167750534	3.01744736	7.707347968	2.83002566	0	2.807470627	3.506839734	5.204208019	3.058475351	11.13861029	1.626780266	4.838931432	16.84174024	0
1700066M21Rik	0.367814761	4.511450586	3.0203946	1.356227808	2.359690409	7.172586153	35.57316558	13.11589786	0.066727243	15.90124108	3.971725988	5.374549689	3.272172473	2.523979575	0	0.230140447	7.986570235	1.985499473	15.37040877
1700067K01Rik	0	15.64337167	8.378530038	2.82161694	9.818619546	4.906022824	0	8.109532298	0	0	1.836251545	1.146840116	5.67309884	1.000211727	3.642654378	0	0	23.86690033	0
1700069L16Rik	0	24.08723706	22.57680608	10.13751389	20.15792346	7.973835707	13.16847174	6.074677295	12.54055121	0	11.30964019	1.765873133	10.48233945	3.080197477	0	21.62601016	0	25.4420323	52.52138544
1700092M07Rik	0.970192092	17.84991041	0	0	0	17.10509244	0	1.875689832	6.864301712	0	0	6.543024662	16.1832609	14.26617779	0	3.035229496	9.02842733	10.47438055	12.16284715
1700095A21Rik	0.344876516	4.441605397	0	0.95373644	0	4.422100606	1.334187825	8.223323677	7.883302535	1.146890982	0	4.651729414	4.602162127	5.071232516	0	0	0	5.585029854	1.441185506
1700096K18Rik	0	24.34190682	6.267996246	7.739811455	44.07198173	4.485807542	0	2.787429563	0	5.07671412	17.85814822	8.579535444	14.42979509	0.748260533	21.80062027	7.800686433	0	12.36107022	58.47791707
1700113A16Rik	0	2.070081167	11.54924537	0	28.87320064	3.606733633	2.539096515	6.284101572	0	0	6.074760959	7.588044878	1.251198198	3.308940525	4.016925072	0	0	12.14729789	0
1700123I01Rik	16.68513865	0.841037316	8.446056938	0	2.199500638	2.381196998	0	11.19444562	0	3.800453999	6.17016948	0.770722062	3.812547515	13.44363933	9.792033096	4.862388727	0	1.233808	0
1700123O20Rik	21.85885413	24.41724114	31.2520501	11.87399343	11.2688021	21.89688912	30.20109657	23.26821866	33.45917315	15.57683168	20.02087708	19.08526516	24.0906986	17.79307299	6.270996315	12.21161682	12.71340217	22.12428714	88.89802878
1700125H20Rik	37.05636259	13.91377632	2.328801682	3.137059244	3.63876362	6.060545574	0	0.974717451	22.22571537	2.514926072	4.083070101	16.57566248	11.35317995	0	4.049884458	0	0	14.28812937	86.90718137
1700128F08Rik	10.29627284	6.721858155	8.182276181	0.918508337	0	5.323452193	5.139628055	11.55830491	4.157588147	9.940755082	3.586480494	2.239954389	4.432172355	2.930350032	10.67199283	2.90944521	0	3.585823972	11.10362022
1810009A15Rik	404.0416239	423.5217768	491.0363547	157.4905759	369.2013819	457.3494636	351.9234954	311.3746784	463.9392212	498.3847399	352.7872154	248.6349372	295.9826319	181.5864061	372.3918148	452.7279221	407.2334539	398.0264609	1257.552695
1810013L24Rik	49.9527475	39.79206833	46.81611629	36.78767928	30.47933444	71.43343711	282.9562995	68.87351355	113.2774385	56.27563771	26.38360835	47.29800596	31.69917084	33.2667376	42.64605872	45.07099744	21.05303378	54.22304512	31.38735062
1810014B01Rik	0.455151846	1.674806409	0	0.629348305	2.189996623	6.018458452	7.923593252	2.933177514	0.743143775	1.513612914	4.914806603	4.604350688	7.592147089	1.338554953	4.874860921	0.711967413	0	9.82781385	4.75502255
1810019D21Rik	19.71034239	18.95604095	23.45072168	2.477628808	15.08782607	23.51406997	0.866492579	44.45741958	1.950413796	10.42792858	78.60406065	30.21080646	38.85555716	37.54622247	31.18607868	25.08582142	0	21.76329373	89.85432648
1810022K09Rik	225.2490868	326.4619525	130.2328622	38.13756563	159.2526223	287.3469395	198.2874271	212.7029151	358.7660933	388.2926694	223.3724447	241.8145274	294.4465624	83.81824157	108.3167352	217.446566	145.4454877	188.5910912	361.1445555
1810026B05Rik	0	2.373972141	0.441489722	0.792956838	0	0.057447326	0.13865903	1.894046767	0.078027929	1.19193706	0.774060538	1.692051876	0.956583961	1.054082745	1.535538536	0	0	0.386959421	8.088068688
1810026J23Rik	56.40580525	20.75544788	31.51595968	83.62192623	34.69452063	50.79530606	29.58224799	39.04827264	16.26711248	31.71424912	26.37251114	25.49096359	45.39481259	59.51291327	22.42128462	2.619680726	20.56316887	29.50669348	0
1810030O07Rik	4.873593248	10.81265957	11.47650129	11.89204029	12.41452207	10.45338076	10.81330183	8.313710762	6.709097379	10.01032491	10.83474084	6.283542347	6.694786002	7.166369247	19.95812033	8.430668553	12.00514054	11.60652588	9.583995683
1810032O08Rik	0	2.377604492	1.136996315	8.168606945	19.54218319	3.698692999	0	5.115802345	0	6.753275443	0	9.960337993	6.158877458	9.772724694	3.9545692	4.158431598	0	6.975926957	1.542941719
1810034E14Rik	0	1.882066026	3.78010262	0.565784825	0	1.475618408	0	0	0	6.123328602	0	1.379772126	2.047604598	1.203362388	2.191252689	0	0	1.104401945	0
1810037I17Rik	29.08588179	18.06937652	11.63207808	0	0	7.567919998	20.82378759	7.059461046	63.11392164	38.9414142	20.39443314	14.01119011	27.72378302	1.110890893	12.13720496	12.29019156	14.06066551	16.31255987	29.9917201
1810043G02Rik	0	6.399024487	4.016359033	9.618342022	2.091859982	4.703533674	0	0	0	6.506036639	0	9.529051247	0.725193295	0	2.328205982	0	0	0	0
1810043H04Rik	179.8586879	145.5454234	105.7153395	24.76625719	258.5437309	108.8505883	101.7716583	108.2128749	70.26770392	54.60036867	76.5575644	171.1252604	156.8531441	35.11674532	199.8298252	95.72646871	541.7056398	221.5734347	299.3931607
1810044D09Rik	0	78.15763242	42.04780815	0	51.0999212	32.2200301	0	21.99883136	37.98290406	30.27225827	24.57403302	58.8333699	93.63648076	20.07832429	32.49907281	14.23934825	35.29632084	36.85430194	98.27046603
1810055G02Rik	102.2568031	33.87878852	50.67185382	202.0669537	47.12798259	72.68548846	1.136753548	72.08416218	39.76727396	61.88762684	56.05543238	33.68858075	45.0929969	42.0556612	20.98106985	40.57079341	162.2430458	24.32148938	21.2839054
1810058I24Rik	44.73911922	29.69501225	19.18310142	11.74590155	73.57177595	17.24602254	0	8.576502916	19.10941136	29.19110619	16.81679218	23.87048168	27.39470586	15.82208965	39.42571851	20.72907886	21.08019899	21.39927209	97.02875507
1810064F22Rik	5.445213655	12.96483502	5.91811027	4.87184483	12.32943364	6.673971777	26.17677093	5.676501228	4.445303989	2.662959296	13.83490304	10.80082264	14.96002571	2.354972876	18.86838002	3.00622209	5.961428993	14.69689365	4.015535985
2010002M12Rik	7.231030514	1.007870127	4.723349623	4.544773794	3.162966891	2.107232785	0.529809356	5.224804167	5.783933275	1.093039935	4.732235778	1.8472135	2.193036247	0.966623636	2.346886981	9.185966474	0	2.95710595	0
2010005H15Rik	4.887710163	2.569305287	0	0	0	0.559567418	4.051837458	4.949737055	5.700250548	4.644039621	3.769880065	4.708995022	6.988226298	2.053464985	0	10.04844916	12.99546358	3.769189971	5.835709493
2010012O05Rik	28.46372389	54.55050746	35.47783813	5.153946139	16.3042028	16.29328658	11.63413623	13.10224515	19.73292616	47.8916586	40.24901364	31.42215428	25.43508836	6.477474106	261.3068832	28.51665065	15.76655508	25.6083201	38.94048798
2010107E04Rik	535.3333902	629.9795779	858.4664832	111.7308772	554.0391457	416.0606047	269.6192553	310.4909031	372.7120534	658.3594142	659.8632811	579.0128674	552.6251065	121.7901644	703.1819932	365.2919487	507.5707638	490.7175546	1481.534752
2010107G23Rik	54.94952787	96.00385092	80.01471985	37.10646333	174.2129029	39.42768275	24.71831517	51.19589384	84.2701858	36.12209674	51.74601406	73.97284381	53.28976726	13.15356427	13.68678456	62.50012718	95.1349015	55.1856445	146.853556
2010109I03Rik	10.3548854	16.8945098	9.626207272	12.4268775	30.08198859	16.28350083	41.75947795	15.86434007	19.03345981	13.64417364	29.53572172	25.03478435	28.02697224	9.767833441	25.11057136	9.16841978	9.090626352	30.58496918	10.61375463
2010300C02Rik	0	2.177517161	1.561968567	0	1.627055505	0.880731657	0	0.599280249	0	4.779282234	1.369293745	0	0	2.983433649	0.905443097	0	9.440410141	1.825390786	0
2010315B03Rik	3.073388506	3.687730676	4.937836115	7.021145644	2.571797412	5.56849693	8.917273304	6.200178059	2.836282694	4.443734904	4.328735066	5.857655279	4.012087878	3.929791634	11.449474	3.427972131	1.243494884	4.327942671	1.675201855
